"SANT","Mortality"
"EVIE","Life expectancy"
"EVIEFE00","Females at birth"
"EVIEFE40","Females at age 40"
"EVIEFE60","Females at age 60"
"EVIEFE65","Females at age 65"
"EVIEFE80","Females at age 80"
"EVIEHO00","Males at birth"
"EVIEHO40","Males at age 40"
"EVIEHO60","Males at age 60"
"EVIEHO65","Males at age 65"
"EVIEHO80","Males at age 80"
"EVIETOTA","Total population at birth"
"CICD","Causes of mortality"
"CICDALLC","All causes of death"
"CICDINFE","Certain infectious and parasitic diseases"
"CICDTBLS","- Tuberculosis"
"CICDHIVD","- HIV-AIDS"
"CICDNEOP","Neoplasms"
"CICDTUME","- Malignant neoplasms"
"CICDCANC","-- Malignant neoplasms of trachea, bronchus, lung"
"CICDNCRA","-- Malignant neoplasms of colon, rectum and anus"
"CICDMNBR","-- Malignant neoplasms of female breast"
"CICDSTOM","-- Malignant neoplasms of stomach"
"CICDPANC","-- Malignant neoplasms of pancreas"
"CICDMNPR","-- Malignant neoplasms of prostate"
"CICDLIVR","-- Malignant neoplasms of liver"
"CICDCRVX","-- Malignant neoplasms of cervix uteri"
"CICDOVRY","-- Malignant neoplasms of ovary"
"CICDHODG","-- Hodgkin’s disease"
"CICDLEUK","-- Leukemia"
"CICDBLAD","-- Malignant neoplasms of bladder"
"CICDSKIN","-- Malignant melanoma of skin"
"CICDSANG","Diseases of the blood and blood-forming organs"
"CICDENDO","Endocrine, nutritional and metabolic diseases"
"CICDDBTM","- Diabetes mellitus"
"CICDTROU","Mental and behavioural disorders"
"CICDDMTA","- Dementia"
"CICDALCO","- Alcohol use disorders"
"CICDSUBS","- Drug use disorders"
"CICDNERV","Diseases of the nervous system"
"CICDPARK","- Parkinson's disease"
"CICDALZH","- Alzheimer's disease"
"CICDCIRC","Diseases of the circulatory system"
"CICDISCH","- Ischaemic heart diseases"
"CICDMYOC","-- Acute myocardial infarction"
"CICDCERV","- Cerebrovascular diseases"
"CICDREPS","Diseases of the respiratory system"
"CICDINPN","- Influenza"
"CICDPNEU","- Pneumonia"
"CICDBAEM","- Chronic obstructive pulmonary diseases"
"CICDASMA","- Asthma"
"CICDDIGE","Diseases of the digestive system"
"CICDPEPT","- Peptic ulcer"
"CICDCIRR","- Chronic liver diseases and cirrhosis"
"CICDPEAU","Diseases of the skin and subcutaneous tissue"
"CICDOSTE","Diseases of the musculoskeletal system and connective tissue"
"CICDGENI","Diseases of the genitourinary system"
"CICDGROS","Complications of pregnancy, childbirth and the puerperium"
"CICDAFFE","Certain conditions originating in the perinatal period"
"CICDCONG","Congenital malformations and chromosomal abnormalities"
"CICDSYMP","Symptoms, signs, ill-defined causes"
"CICDEXTC","External causes of mortality"
"CICDACCD","- Accidents"
"CICDTRAC","-- Transport accidents"
"CICDCHUT","-- Accidental falls"
"CICDPOSN","-- Accidental poisoning"
"CICDHARM","- Intentional self-harm"
"CICDHOCD","- Assault"
"MATI","Maternal and infant mortality"
"MATIINFA","Infant mortality"
"MATINEON","Neonatal mortality"
"MATIPERI","Perinatal mortality"
"MATIMATM","Maternal mortality"
"PLYL","Potential years of life lost"
"PLYLALLC","All causes of death"
"PLYLINFE","Certain infectious and parasitic diseases"
"PLYLTBLS","- Tuberculosis"
"PLYLHIVD","- HIV-AIDS"
"PLYLNEOP","Neoplasms"
"PLYLTUME","- Malignant neoplasms"
"PLYLCANC","-- Malignant neoplasms of trachea, bronchus, lung"
"PLYLNCRA","-- Malignant neoplasms of colon, rectum and anus"
"PLYLMNBR","-- Malignant neoplasms of female breast"
"PLYLSTOM","-- Malignant neoplasms of stomach"
"PLYLPANC","-- Malignant neoplasms of pancreas"
"PLYLMNPR","-- Malignant neoplasms of prostate"
"PLYLLIVR","-- Malignant neoplasms of liver"
"PLYLCRVX","-- Malignant neoplasms of cervix uteri"
"PLYLOVRY","-- Malignant neoplasms of ovary"
"PLYLHODG","-- Hodgkin’s disease"
"PLYLLEUK","-- Leukemia"
"PLYLBLAD","-- Malignant neoplasms of bladder"
"PLYLSKIN","-- Malignant melanoma of skin"
"PLYLSANG","Diseases of the blood and blood-forming organs"
"PLYLENDO","Endocrine, nutritional and metabolic diseases"
"PLYLDBTM","- Diabetes mellitus"
"PLYLTROU","Mental and behavioural disorders"
"PLYLDMTA","- Dementia"
"PLYLALCO","- Alcohol use disorders"
"PLYLSUBS","- Drug use disorders"
"PLYLNERV","Diseases of the nervous system"
"PLYLPARK","- Parkinson's disease"
"PLYLALZH","- Alzheimer's disease"
"PLYLCIRC","Diseases of the circulatory system"
"PLYLISCH","- Ischaemic heart diseases"
"PLYLMYOC","-- Acute myocardial infarction"
"PLYLCERV","- Cerebrovascular diseases"
"PLYLREPS","Diseases of the respiratory system"
"PLYLINPN","- Influenza"
"PLYLPNEU","- Pneumonia"
"PLYLBAEM","- Chronic obstructive pulmonary diseases"
