Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,,,84.30,,,,,,83.20,,,
GBR,74.90,,87.20,,,,,,87.90,,,
JPN,,,32.70,,,,,,42.70,,,
NLD,91.60,,86.70,,,,,,96.80,,,
SVK,,,48.00,,,,,,53.40,,,
TUR,,,22.00,,,,,,28.30,,,
CHE,70.10,,81.70,,,,,,89.40,,,
CHL,,,,,,,,,40.10,,,
ESP,47.90,,50.90,,,,,,61.00,,,
KOR,,,20.40,,,,,,38.90,,,
SVN,,,,,,,,,65.50,,,
AUT,67.20,,70.50,,,,,,69.90,,,
DEU,73.70,,79.80,,,,,,81.80,,,
ITA,64.90,,74.40,,,,,,86.30,,,
MEX,,,26.40,,,,,,27.20,,,
NZL,,,91.90,,,,,,89.40,,,
GRC,47.60,,51.60,,,,,,44.90,,,
PRT,55.30,,55.50,,,,,,60.00,,,
AUS,,,83.20,,,,,,84.80,,,
POL,,,50.30,,,,,,48.90,,,
USA,,,101.10,,,,,,76.00,,,
DNK,86.20,,88.70,,,,,,89.10,,,
HUN,,,63.00,,,,,,57.90,,,
IRL,71.60,,74.90,,,,,,93.90,,,
LUX,69.30,,82.50,,,,,,82.30,,,
NOR,,,74.80,,,,,,76.20,,,
SWE,81.00,,87.80,,,,,,82.70,,,
CZE,,,58.40,,,,,,67.70,,,
ISR,,,,,,,,,96.80,,,
BEL,82.20,,92.00,,,,,,109.40,,,
EST,,,,,,,,,50.20,,,
FIN,78.40,,84.70,,,,,,86.60,,,
FRA,83.20,,91.90,,,,,,99.70,,,
ISL,,,90.00,,,,,,86.20,,,
