Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,11.90,,10.90,,,,,,7.80,,,
DNK,15.30,,12.60,,,,,,11.00,,,
JPN,,,8.00,,,,,,9.80,,,
KOR,,,17.90,,,,,,10.80,,,
MEX,,,29.50,,,,,,19.20,,,
NOR,,,10.40,,,,,,9.30,,,
EST,,,,,,,,,15.80,,,
FIN,4.20,,4.30,,,,,,3.70,,,
GRC,6.90,,7.70,,,,,,3.80,,,
NLD,7.30,,7.30,,,,,,5.40,,,
FRA,10.10,,9.80,,,,,,7.10,,,
GBR,9.30,,8.30,,,,,,7.20,,,
IRL,7.90,,7.20,,,,,,10.90,,,
ISR,,,,,,,,,5.60,,,
NZL,,,10.00,,,,,,5.50,,,
SVK,,,18.50,,,,,,15.80,,,
TUR,,,4.50,,,,,,4.20,,,
CZE,,,16.20,,,,,,13.80,,,
ITA,9.10,,8.10,,,,,,6.70,,,
LUX,3.60,,8.70,,,,,,6.30,,,
ESP,7.20,,7.60,,,,,,6.30,,,
SWE,9.40,,8.20,,,,,,7.40,,,
CHE,7.20,,8.30,,,,,,4.00,,,
CHL,,,,,,,,,14.40,,,
DEU,11.50,,10.80,,,,,,6.90,,,
HUN,,,15.70,,,,,,16.60,,,
ISL,,,8.30,,,,,,6.30,,,
POL,,,18.40,,,,,,12.30,,,
PRT,14.60,,13.50,,,,,,12.20,,,
USA,,,7.70,,,,,,5.70,,,
AUS,,,6.90,,,,,,4.90,,,
BEL,9.10,,9.40,,,,,,9.40,,,
CAN,,,7.70,,,,,,6.60,,,
SVN,,,,,,,,,13.70,,,
