Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HUN,,,1042,,,,,,1104,,,
AUT,672,,610,,,,,,472,,,
DEU,6754,,6133,,,,,,4440,,,
EST,,,,,,,,,153,,,
KOR,,,4949,,,,,,3520,,,
SVN,,,,,,,,,181,,,
SWE,547,,485,,,,,,452,,,
IRL,170,,164,,,,,,285,,,
POL,,,4901,,,,,,3770,,,
CZE,,,1160,,,,,,990,,,
ISL,,,13,,,,,,11,,,
LUX,10,,24,,,,,,22,,,
AUS,,,835,,,,,,658,,,
FRA,4065,,4149,,,,,,2907,,,
NZL,,,228,,,,,,140,,,
SVK,,,654,,,,,,579,,,
BEL,669,,667,,,,,,667,,,
CAN,,,1502,,,,,,1419,,,
CHE,372,,389,,,,,,221,,,
DNK,509,,439,,,,,,389,,,
ESP,1986,,2103,,,,,,1948,,,
JPN,,,7772,,,,,,8894,,,
NOR,,,291,,,,,,280,,,
GRC,523,,578,,,,,,307,,,
ISR,,,,,,,,,222,,,
MEX,,,12516,,,,,,10186,,,
TUR,,,1364,,,,,,1443,,,
USA,,,13162,,,,,,11069,,,
CHL,,,,,,,,,1478,,,
FIN,157,,164,,,,,,140,,,
GBR,3537,,3181,,,,,,2890,,,
ITA,3711,,3418,,,,,,2880,,,
NLD,736,,753,,,,,,589,,,
PRT,978,,956,,,,,,949,,,
