Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,30.50,,33.00,,,,,,35.20,,,
ESP,21.00,,22.50,,,,,,22.90,,,
EST,,,,,,,,,22.20,,,
ISL,,,27.00,,,,,,26.70,,,
SVK,,,27.40,,,,,,29.20,,,
TUR,,,8.50,,,,,,9.10,,,
FRA,26.80,,25.90,,,,,,24.10,,,
HUN,,,33.70,,,,,,30.30,,,
SVN,,,,,,,,,25.00,,,
SWE,24.60,,26.20,,,,,,26.00,,,
AUT,26.10,,27.80,,,,,,22.20,,,
KOR,,,15.80,,,,,,25.60,,,
NOR,,,37.10,,,,,,35.20,,,
PRT,24.30,,21.10,,,,,,24.10,,,
BEL,28.00,,26.80,,,,,,28.60,,,
CHL,,,,,,,,,11.90,,,
DEU,32.00,,33.10,,,,,,27.30,,,
GRC,13.60,,15.60,,,,,,11.50,,,
NZL,,,42.20,,,,,,37.50,,,
POL,,,23.50,,,,,,17.60,,,
CZE,,,32.00,,,,,,29.60,,,
IRL,28.70,,27.00,,,,,,28.80,,,
NLD,30.40,,30.80,,,,,,31.00,,,
USA,,,33.10,,,,,,25.00,,,
AUS,,,35.90,,,,,,32.10,,,
FIN,21.20,,21.10,,,,,,19.80,,,
JPN,,,26.50,,,,,,22.80,,,
LUX,30.90,,30.80,,,,,,25.90,,,
CAN,,,30.60,,,,,,31.80,,,
CHE,23.80,,25.20,,,,,,21.50,,,
GBR,25.30,,26.50,,,,,,23.50,,,
ISR,,,,,,,,,36.30,,,
ITA,24.00,,26.60,,,,,,29.90,,,
MEX,,,7.00,,,,,,6.10,,,
