Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,,,12254,,,,,,14437,,,
AUT,4765,,5164,,,,,,5059,,,
ESP,19166,,21964,,,,,,28551,,,
FIN,2060,,2177,,,,,,2620,,,
ITA,33315,,37733,,,,,,51770,,,
NOR,,,3241,,,,,,3512,,,
PRT,5495,,4984,,,,,,6952,,,
GRC,3298,,3769,,,,,,3384,,,
MEX,,,5604,,,,,,6347,,,
EST,,,,,,,,,708,,,
FRA,34515,,34947,,,,,,38924,,,
GBR,33173,,35969,,,,,,37682,,,
HUN,,,7486,,,,,,8564,,,
IRL,1856,,1888,,,,,,2379,,,
ISL,,,120,,,,,,149,,,
JPN,,,95651,,,,,,101656,,,
NZL,,,2644,,,,,,2913,,,
SWE,5199,,5395,,,,,,5880,,,
TUR,,,5116,,,,,,7218,,,
CHL,,,,,,,,,2737,,,
ISR,,,,,,,,,3928,,,
SVN,,,,,,,,,1443,,,
CAN,,,17708,,,,,,23195,,,
DEU,60813,,63809,,,,,,70404,,,
DNK,3321,,3628,,,,,,4460,,,
KOR,,,10211,,,,,,23075,,,
BEL,6194,,6434,,,,,,8057,,,
LUX,251,,287,,,,,,328,,,
POL,,,15580,,,,,,15878,,,
SVK,,,2972,,,,,,3649,,,
CZE,,,7617,,,,,,8621,,,
CHE,3500,,4618,,,,,,4067,,,
NLD,9299,,9522,,,,,,11691,,,
USA,,,165690,,,,,,153881,,,
