Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,,,41.7,,,,,,38.7,,,
CHL,,,,,,,,,13,,,
ITA,29.6,,33,,,,,,36.5,,,
SWE,28.8,,29.8,,,,,,28.5,,,
JPN,,,37.9,,,,,,31.5,,,
NOR,,,40.3,,,,,,37.8,,,
KOR,,,20.3,,,,,,35.2,,,
USA,,,38.9,,,,,,29.2,,,
AUT,34.7,,35,,,,,,28.6,,,
NLD,36,,35.9,,,,,,36.6,,,
SVN,,,,,,,,,35.5,,,
CZE,,,45.3,,,,,,43,,,
DEU,38.5,,39.3,,,,,,35.5,,,
GRC,15.5,,17.5,,,,,,13.3,,,
HUN,,,45.2,,,,,,42.6,,,
LUX,34.1,,37.2,,,,,,32.9,,,
MEX,,,7.5,,,,,,6.5,,,
PRT,32.4,,28.6,,,,,,31.4,,,
SVK,,,41,,,,,,42.1,,,
ISR,,,,,,,,,40.4,,,
POL,,,27.7,,,,,,23.9,,,
BEL,32.7,,31.9,,,,,,35.5,,,
DNK,34.7,,37,,,,,,39.7,,,
IRL,36.5,,35.1,,,,,,36.1,,,
ISL,,,30.5,,,,,,30.4,,,
CAN,,,36.4,,,,,,38.1,,,
CHE,27.8,,34,,,,,,25.9,,,
ESP,26.5,,29.7,,,,,,30.4,,,
EST,,,,,,,,,25.4,,,
FIN,23.2,,23.3,,,,,,23.2,,,
FRA,33.3,,33.4,,,,,,29.4,,,
GBR,30.3,,32.9,,,,,,29.3,,,
NZL,,,47.6,,,,,,40.5,,,
TUR,,,8.8,,,,,,11,,,
