Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,12.00,,14.30,,,,,,16.20,,,
CAN,,,31.60,,,,,,32.40,,,
ISL,,,30.00,,,,,,27.80,,,
ITA,9.00,,10.70,,,,,,11.40,,,
CZE,,,13.30,,,,,,15.80,,,
DEU,11.40,,12.70,,,,,,16.40,,,
EST,,,,,,,,,9.00,,,
NLD,17.50,,17.90,,,,,,26.10,,,
NZL,,,20.50,,,,,,23.40,,,
CHE,11.60,,13.80,,,,,,17.00,,,
CHL,,,,,,,,,9.20,,,
FIN,8.90,,10.10,,,,,,10.80,,,
ESP,4.00,,5.40,,,,,,7.70,,,
FRA,7.40,,8.80,,,,,,14.70,,,
POL,,,14.60,,,,,,18.30,,,
SVK,,,9.40,,,,,,10.60,,,
SWE,12.10,,14.40,,,,,,18.10,,,
TUR,,,5.30,,,,,,5.20,,,
DNK,27.70,,29.80,,,,,,36.30,,,
HUN,,,24.90,,,,,,28.40,,,
IRL,18.70,,19.70,,,,,,24.40,,,
JPN,,,12.30,,,,,,13.30,,,
LUX,12.20,,13.60,,,,,,18.20,,,
PRT,5.50,,6.00,,,,,,6.00,,,
SVN,,,,,,,,,16.70,,,
GRC,8.30,,8.70,,,,,,8.50,,,
ISR,,,,,,,,,16.10,,,
NOR,,,18.70,,,,,,24.70,,,
USA,,,36.10,,,,,,36.20,,,
AUS,,,16.80,,,,,,19.20,,,
BEL,11.20,,12.20,,,,,,16.20,,,
GBR,21.80,,24.90,,,,,,23.70,,,
KOR,,,12.80,,,,,,13.80,,,
MEX,,,6.70,,,,,,5.40,,,
