Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,48.50,,44.60,,,,,,38.40,,,
DEU,50.30,,46.70,,,,,,42.40,,,
DNK,46.80,,45.30,,,,,,43.40,,,
IRL,39.50,,39.80,,,,,,37.90,,,
NOR,,,36.40,,,,,,36.80,,,
SVK,,,67.50,,,,,,49.20,,,
AUS,,,39.50,,,,,,32.90,,,
CZE,,,66.10,,,,,,52.90,,,
EST,,,,,,,,,64.10,,,
ISR,,,,,,,,,33.10,,,
JPN,,,38.10,,,,,,38.70,,,
USA,,,61.90,,,,,,49.50,,,
LUX,60.50,,61.30,,,,,,46.40,,,
NZL,,,37.30,,,,,,29.60,,,
KOR,,,53.30,,,,,,46.40,,,
MEX,,,17.00,,,,,,14.00,,,
POL,,,82.00,,,,,,70.60,,,
SVN,,,,,,,,,50.50,,,
SWE,21.40,,21.10,,,,,,19.40,,,
ESP,53.20,,55.80,,,,,,53.30,,,
FRA,53.50,,52.60,,,,,,47.70,,,
ISL,,,30.00,,,,,,29.30,,,
NLD,62.00,,59.70,,,,,,46.10,,,
CHL,,,,,,,,,19.90,,,
GBR,47.60,,48.10,,,,,,41.60,,,
ITA,59.40,,58.00,,,,,,45.40,,,
PRT,33.90,,34.20,,,,,,29.00,,,
TUR,,,47.70,,,,,,49.10,,,
AUT,42.10,,42.60,,,,,,36.00,,,
CAN,,,55.80,,,,,,40.30,,,
GRC,55.80,,58.00,,,,,,52.90,,,
HUN,,,94.60,,,,,,79.30,,,
BEL,76.40,,75.30,,,,,,58.00,,,
FIN,36.80,,33.40,,,,,,29.90,,,
