Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,,,12552,,,,,,11215,,,
IRL,941,,1001,,,,,,1160,,,
ITA,29937,,30384,,,,,,28147,,,
SWE,1737,,1736,,,,,,1798,,,
USA,,,118873,,,,,,114691,,,
EST,,,,,,,,,612,,,
GBR,23708,,24300,,,,,,24277,,,
JPN,,,47564,,,,,,60531,,,
KOR,,,11722,,,,,,13400,,,
LUX,191,,206,,,,,,180,,,
NLD,7249,,7253,,,,,,6618,,,
ISL,,,57,,,,,,69,,,
POL,,,19478,,,,,,19081,,,
SVK,,,2153,,,,,,1723,,,
TUR,,,12862,,,,,,14667,,,
DEU,33568,,32312,,,,,,34799,,,
FIN,1443,,1378,,,,,,1524,,,
GRC,5269,,5474,,,,,,5601,,,
NZL,,,974,,,,,,984,,,
SVN,,,,,,,,,841,,,
ISR,,,,,,,,,1345,,,
MEX,,,5622,,,,,,6297,,,
CZE,,,4891,,,,,,4417,,,
DNK,1999,,2011,,,,,,2209,,,
ESP,16821,,17983,,,,,,20085,,,
NOR,,,1297,,,,,,1492,,,
AUT,2451,,2660,,,,,,2560,,,
CHL,,,,,,,,,1783,,,
AUS,,,5565,,,,,,5873,,,
BEL,6256,,6518,,,,,,5559,,,
CHE,2698,,2754,,,,,,2601,,,
FRA,22910,,23044,,,,,,24236,,,
HUN,,,6461,,,,,,5942,,,
PRT,2474,,2572,,,,,,2614,,,
