Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ITA,5689.00,,6784.00,,,,,,8493.00,,,
PRT,512.00,,566.00,,,,,,674.00,,,
SVK,,,405.00,,,,,,512.00,,,
USA,,,86024.00,,,,,,100330.00,,,
CAN,,,8096.00,,,,,,10384.00,,,
DEU,9403.00,,10579.00,,,,,,15070.00,,,
DNK,1336.00,,1515.00,,,,,,2019.00,,,
JPN,,,18889.00,,,,,,26287.00,,,
MEX,,,2633.00,,,,,,2851.00,,,
NLD,2207.00,,2335.00,,,,,,3802.00,,,
NZL,,,607.00,,,,,,823.00,,,
CHE,745.00,,937.00,,,,,,1292.00,,,
CZE,,,1307.00,,,,,,1724.00,,,
EST,,,,,,,,,150.00,,,
ISL,,,60.00,,,,,,69.00,,,
AUT,889.00,,1096.00,,,,,,1368.00,,,
BEL,1055.00,,1189.00,,,,,,1599.00,,,
CHL,,,,,,,,,1070.00,,,
KOR,,,3768.00,,,,,,5398.00,,,
LUX,47.00,,52.00,,,,,,81.00,,,
NOR,,,746.00,,,,,,1120.00,,,
POL,,,4534.00,,,,,,6359.00,,,
SWE,1058.00,,1253.00,,,,,,1734.00,,,
AUS,,,2679.00,,,,,,3751.00,,,
FIN,450.00,,542.00,,,,,,684.00,,,
GBR,13423.00,,15424.00,,,,,,16290.00,,,
ISR,,,,,,,,,807.00,,,
SVN,,,,,,,,,347.00,,,
TUR,,,1572.00,,,,,,1784.00,,,
ESP,1552.00,,2038.00,,,,,,3126.00,,,
FRA,3833.00,,4507.00,,,,,,8194.00,,,
GRC,898.00,,942.00,,,,,,1036.00,,,
IRL,538.00,,598.00,,,,,,860.00,,,
HUN,,,2276.00,,,,,,2887.00,,,
