Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SVN,,,,,,,,,31.50,,,
AUT,27.00,,28.50,,,,,,25.10,,,
ESP,28.60,,30.60,,,,,,28.80,,,
ISL,,,30.00,,,,,,28.20,,,
ITA,34.20,,34.40,,,,,,26.70,,,
LUX,36.30,,37.50,,,,,,30.90,,,
CAN,,,43.70,,,,,,35.90,,,
CHE,30.10,,29.20,,,,,,26.70,,,
DEU,30.80,,29.70,,,,,,28.10,,,
FIN,22.80,,21.80,,,,,,19.10,,,
GRC,32.10,,33.40,,,,,,29.10,,,
SWE,16.80,,17.80,,,,,,18.50,,,
BEL,43.80,,43.80,,,,,,35.30,,,
CZE,,,39.70,,,,,,32.10,,,
EST,,,,,,,,,30.50,,,
HUN,,,59.80,,,,,,49.80,,,
KOR,,,33.10,,,,,,27.60,,,
MEX,,,11.90,,,,,,9.40,,,
NOR,,,27.60,,,,,,30.10,,,
DNK,37.30,,37.60,,,,,,39.30,,,
IRL,29.10,,29.80,,,,,,30.60,,,
CHL,,,,,,,,,14.00,,,
GBR,34.70,,36.50,,,,,,31.80,,,
PRT,19.70,,20.10,,,,,,16.40,,,
SVK,,,38.50,,,,,,26.70,,,
AUS,,,28.20,,,,,,25.60,,,
FRA,30.50,,30.70,,,,,,30.00,,,
ISR,,,,,,,,,23.80,,,
JPN,,,25.20,,,,,,24.60,,,
TUR,,,26.50,,,,,,26.00,,,
NLD,39.80,,38.80,,,,,,35.00,,,
NZL,,,28.90,,,,,,26.10,,,
POL,,,48.30,,,,,,40.50,,,
USA,,,49.00,,,,,,42.10,,,
