Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,281.9,,312.9,,,,,,293.5,,,
CAN,,,327.4,,,,,,325.9,,,
CHE,283.4,,329.1,,,,,,313.2,,,
DNK,278.7,,277.2,,,,,,337.4,,,
EST,,,,,,,,,285.2,,,
KOR,,,285.7,,,,,,309.4,,,
LUX,309.3,,339.2,,,,,,324,,,
NLD,299.6,,314.6,,,,,,318.4,,,
NZL,,,363.1,,,,,,337.6,,,
GBR,260.3,,286.6,,,,,,298.4,,,
ISL,,,288.4,,,,,,315.1,,,
ISR,,,,,,,,,303.7,,,
JPN,,,261.5,,,,,,247.3,,,
POL,,,301.8,,,,,,284.6,,,
AUS,,,347.2,,,,,,360.5,,,
CZE,,,330.9,,,,,,343.6,,,
ESP,272.3,,307.6,,,,,,309.9,,,
FIN,259.3,,264.1,,,,,,283,,,
DEU,312.3,,317.7,,,,,,330.7,,,
HUN,,,386.8,,,,,,358.4,,,
ITA,290.5,,321.3,,,,,,310,,,
NOR,,,311.5,,,,,,341.1,,,
SVK,,,319,,,,,,320.2,,,
USA,,,406.6,,,,,,335,,,
BEL,329.7,,347.4,,,,,,356.7,,,
CHL,,,,,,,,,203,,,
FRA,342.6,,341.8,,,,,,360.6,,,
GRC,225.1,,234.9,,,,,,187.6,,,
IRL,272.1,,273.6,,,,,,355.9,,,
SVN,,,,,,,,,315.5,,,
SWE,262,,277.5,,,,,,286.6,,,
TUR,,,137.3,,,,,,182.3,,,
MEX,,,144.5,,,,,,132.9,,,
PRT,270.3,,284.6,,,,,,266.8,,,
