Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,,,65726.00,,,,,,79839.00,,,
FIN,9986.00,,10571.00,,,,,,12262.00,,,
ITA,119029.00,,129247.00,,,,,,157109.00,,,
SWE,20227.00,,20632.00,,,,,,21184.00,,,
HUN,,,22924.00,,,,,,24147.00,,,
IRL,6102.00,,6392.00,,,,,,9076.00,,,
SVK,,,8527.00,,,,,,10206.00,,,
SVN,,,,,,,,,4541.00,,,
CHE,13258.00,,15654.00,,,,,,17033.00,,,
EST,,,,,,,,,2820.00,,,
FRA,108132.00,,117407.00,,,,,,143783.00,,,
GBR,123876.00,,138275.00,,,,,,146898.00,,,
POL,,,63220.00,,,,,,64540.00,,,
CHL,,,,,,,,,17606.00,,,
ISR,,,,,,,,,13203.00,,,
NLD,31852.00,,32381.00,,,,,,39115.00,,,
BEL,21480.00,,22496.00,,,,,,26720.00,,,
CZE,,,22643.00,,,,,,25215.00,,,
ESP,58699.00,,63983.00,,,,,,77312.00,,,
GRC,15354.00,,16638.00,,,,,,16260.00,,,
JPN,,,213232.00,,,,,,253907.00,,,
MEX,,,62492.00,,,,,,65674.00,,,
AUT,15495.00,,17339.00,,,,,,18020.00,,,
KOR,,,43676.00,,,,,,79065.00,,,
DEU,184649.00,,194685.00,,,,,,218688.00,,,
DNK,13277.00,,13355.00,,,,,,15941.00,,,
ISL,,,534.00,,,,,,611.00,,,
LUX,853.00,,947.00,,,,,,1185.00,,,
TUR,,,27755.00,,,,,,39311.00,,,
AUS,,,39518.00,,,,,,47169.00,,,
NOR,,,9912.00,,,,,,11163.00,,,
NZL,,,8085.00,,,,,,9542.00,,,
PRT,16488.00,,16529.00,,,,,,19254.00,,,
USA,,,669941.00,,,,,,692012.00,,,
