Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,2162,2197,2142,2195,2298,2285,2313,,
CZE,3040,2925,3042,3121,2810,2691,2553,2667,2689,2567,2599,2503
DEU,11505,11331,11107,11431,10556,10754,10667,10070,10152,10030,10146,10570
HUN,3438,3503,3592,3655,3568,3230,3203,2957,2855,2738,2561,2349
NLD,1846,1921,1824,1882,1779,1836,1835,1838,1863,1956,1964,1954
AUS,3402,3156,3135,3136,3285,,3301,3171,3425,3633,3429,3542
AUT,1675,1612,1507,1537,1581,1676,1548,1572,1580,1557,1505,1427
ISR,876,884,883,844,843,772,749,748,807,672,709,
ITA,11567,11846,11744,11746,,,11399,11290,10929,10741,10226,
NZL,672,672,713,747,701,720,690,751,796,797,,
TUR,,,,,,,,,,,,
CHE,,,,,,,,,,,,
GRC,2967,2916,2644,2646,2736,2780,2624,2805,2553,2500,2233,
ISL,54,58,40,41,38,38,63,41,41,40,,
CAN,5286,5310,5487,5451,5416,5807,5785,6022,6111,6048,,
DNK,1195,1153,970,966,885,964,991,958,963,777,767,789
EST,1035,1224,1075,954,961,846,841,841,712,645,574,596
IRL,646,709,662,561,547,638,585,740,719,736,591,
NOR,976,913,1012,1113,1165,1048,1039,1034,1137,1114,1068,1026
SVN,528,577,533,584,521,474,578,631,638,589,564,
CHL,3575,3770,3744,3748,3725,3691,3790,3777,3819,3748,,
USA,63817,66060,69257,70532,72050,76375,79521,79852,78378,75204,76055,
LUX,112,113,94,101,73,74,81,92,77,94,93,84
MEX,27257,26478,26551,26437,25914,26586,27739,28763,29540,28943,27975,
SVK,1618,1597,1506,1545,1516,1617,,,1648,1397,1347,
FIN,1789,1787,1800,1883,1978,2115,2068,2100,2048,1986,1869,1846
FRA,15707,15460,15096,14910,13270,13535,13243,13232,13472,13932,,
JPN,25708,25621,24957,24631,24404,25398,24116,23455,23720,23487,24940,33614
KOR,14311,13274,12030,12127,11213,10803,10745,10346,9797,9353,9537,9063
SWE,1635,1753,1812,1779,2030,1753,1768,1875,1849,1735,1737,
ESP,8989,8547,8291,8611,8477,8633,8179,7996,7296,6613,6412,6252
GBR,,7195,7044,7251,7301,7446,7771,8412,8465,8527,7971,
POL,11592,11038,11329,11259,11355,11461,11478,11653,11495,10500,10492,10522
PRT,1754,2362,2912,2754,,,,1548,1439,1460,1381,1291
