Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,53.40,52.70,53.10,56.50,52.50,44.70,39.90,41.30,40.70,37.70,38.20,36.90
EST,103.10,120.40,103.50,91.70,90.30,81.80,80.50,78.50,66.50,59.30,53.70,55.20
ISL,28.90,34.20,27.70,27.80,20.50,25.00,37.40,21.30,23.00,23.00,,
KOR,56.30,58.70,55.30,53.20,47.20,44.90,45.30,41.40,37.50,34.30,34.00,31.90
NZL,29.70,30.10,31.70,32.90,30.80,28.50,29.30,31.80,32.90,31.70,,
SVK,42.50,39.80,37.40,38.70,38.30,40.60,,,38.30,33.60,32.60,
SWE,27.00,29.30,29.20,29.50,34.20,28.90,27.40,28.60,28.50,26.30,26.00,
DNK,43.90,39.10,31.90,32.00,29.70,31.00,32.50,29.20,28.60,24.30,23.40,23.80
NLD,23.40,25.50,23.20,24.00,22.50,23.10,23.20,23.00,23.20,23.40,23.20,23.10
HUN,65.30,63.90,66.70,66.50,62.10,51.10,47.70,46.00,43.80,42.20,40.90,37.10
ITA,33.00,33.50,32.90,31.80,,,29.10,28.50,27.10,26.50,24.80,
POL,50.20,47.50,47.20,45.90,45.20,44.90,43.90,43.30,42.70,38.40,37.50,37.50
AUT,32.20,30.50,29.30,31.60,29.80,32.30,29.10,28.90,28.50,28.10,26.60,25.50
IRL,31.40,32.10,30.90,26.00,24.50,26.30,24.60,28.30,27.50,27.30,22.70,
MEX,51.90,50.60,49.80,48.70,46.60,47.40,47.30,46.70,47.00,45.00,43.10,
AUS,29.80,27.10,27.20,26.70,28.00,,26.60,25.50,27.00,27.40,25.60,26.40
CHL,39.00,40.20,40.40,39.70,38.50,37.40,38.80,37.40,36.80,35.90,,
FRA,46.90,46.40,44.80,45.70,38.50,38.40,36.00,35.00,34.90,34.90,,
JPN,30.20,29.50,28.20,27.50,26.50,26.90,25.10,24.10,23.60,22.80,23.80,34.80
NOR,38.00,36.30,36.90,40.00,41.60,37.60,36.80,36.90,37.40,38.20,36.90,35.10
PRT,22.90,31.00,38.20,36.80,,,,18.90,17.70,17.60,17.20,15.50
BEL,,,,37.80,35.10,35.50,34.60,35.20,35.00,35.20,,
FIN,52.80,52.40,52.70,53.80,56.70,56.30,55.20,54.00,52.30,49.60,48.00,45.70
GBR,,21.00,20.40,21.30,21.30,21.20,21.60,22.40,22.80,22.00,20.90,
LUX,42.50,42.40,38.00,44.20,33.40,28.90,35.60,33.90,31.20,34.50,32.20,31.00
CAN,30.80,30.10,31.30,30.90,30.00,30.90,30.80,30.90,31.00,30.30,,
ISR,26.50,24.70,25.10,24.50,24.90,23.80,22.10,22.00,23.20,19.50,19.10,
DEU,23.50,22.90,22.60,23.00,21.50,21.70,20.70,19.40,19.40,18.70,18.90,19.10
ESP,29.20,27.80,26.60,27.50,27.30,27.20,25.50,24.50,22.20,20.20,19.60,19.20
GRC,35.00,34.00,30.50,29.80,30.90,31.30,28.30,30.80,27.30,26.80,23.90,
SVN,44.00,47.20,41.10,47.50,40.30,39.20,46.90,50.50,49.60,47.40,42.90,
USA,36.70,37.40,38.60,39.10,39.50,41.00,41.90,42.10,40.60,39.00,39.50,
