Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,129.00,92.00,112.00,97.00,88.00,86.00,90.00,80.00,61.00,83.00,87.00,
SVN,17.00,17.00,10.00,14.00,17.00,20.00,19.00,9.00,20.00,14.00,22.00,
USA,6101.00,6019.00,6207.00,6205.00,6152.00,6392.00,6345.00,6382.00,6014.00,5663.00,5326.00,
AUS,291.00,264.00,301.00,264.00,251.00,,261.00,256.00,256.00,285.00,246.00,266.00
CAN,391.00,395.00,402.00,439.00,481.00,469.00,457.00,503.00,509.00,512.00,,
ITA,611.00,614.00,540.00,536.00,,,498.00,517.00,509.00,553.00,488.00,
NLD,239.00,234.00,232.00,195.00,181.00,217.00,166.00,177.00,158.00,167.00,156.00,147.00
NOR,42.00,51.00,49.00,44.00,38.00,46.00,48.00,48.00,36.00,38.00,35.00,24.00
AUT,71.00,63.00,69.00,87.00,96.00,102.00,70.00,58.00,70.00,69.00,76.00,57.00
CHE,75.00,81.00,81.00,61.00,71.00,66.00,83.00,84.00,89.00,85.00,95.00,
EST,19.00,27.00,9.00,13.00,25.00,12.00,9.00,18.00,14.00,13.00,7.00,5.00
GBR,,845.00,797.00,890.00,902.00,833.00,878.00,882.00,898.00,871.00,850.00,
NZL,66.00,60.00,76.00,54.00,74.00,53.00,55.00,57.00,49.00,73.00,,
PRT,106.00,89.00,152.00,115.00,,,,81.00,84.00,85.00,77.00,81.00
CHL,385.00,362.00,344.00,319.00,361.00,359.00,327.00,353.00,399.00,364.00,,
DNK,69.00,71.00,104.00,57.00,75.00,73.00,55.00,65.00,43.00,38.00,37.00,53.00
POL,598.00,588.00,579.00,554.00,522.00,489.00,529.00,526.00,548.00,555.00,473.00,392.00
SVK,86.00,56.00,81.00,69.00,75.00,71.00,64.00,66.00,59.00,41.00,73.00,
BEL,,,,97.00,95.00,107.00,106.00,106.00,99.00,98.00,,
CZE,92.00,76.00,100.00,76.00,91.00,65.00,88.00,72.00,76.00,84.00,82.00,69.00
DEU,645.00,628.00,647.00,615.00,652.00,575.00,613.00,611.00,542.00,497.00,521.00,547.00
HUN,235.00,203.00,203.00,181.00,166.00,134.00,133.00,157.00,152.00,137.00,140.00,114.00
ISL,3.00,6.00,,5.00,,4.00,2.00,1.00,4.00,1.00,,
KOR,592.00,761.00,570.00,549.00,541.00,426.00,377.00,398.00,375.00,333.00,331.00,325.00
LUX,4.00,7.00,7.00,5.00,5.00,3.00,1.00,1.00,1.00,5.00,3.00,3.00
MEX,8106.00,7690.00,7810.00,7042.00,6910.00,7018.00,6531.00,6290.00,6249.00,6248.00,6008.00,
SWE,56.00,65.00,69.00,67.00,68.00,48.00,53.00,48.00,57.00,53.00,51.00,
FRA,600.00,680.00,648.00,610.00,609.00,587.00,568.00,571.00,626.00,575.00,,
JPN,509.00,471.00,420.00,483.00,388.00,380.00,410.00,365.00,351.00,294.00,268.00,306.00
ESP,385.00,410.00,378.00,388.00,428.00,390.00,386.00,440.00,397.00,383.00,385.00,372.00
FIN,33.00,23.00,32.00,26.00,44.00,36.00,30.00,23.00,29.00,36.00,20.00,29.00
IRL,46.00,54.00,49.00,40.00,62.00,49.00,38.00,38.00,54.00,37.00,45.00,
ISR,145.00,135.00,161.00,159.00,147.00,125.00,103.00,109.00,111.00,145.00,133.00,
