Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,356,393,353,339,327,,327,331,340,369,369,348
AUT,94,128,111,121,119,98,116,102,86,83,102,89
CAN,507,541,525,552,543,575,556,619,598,564,,
HUN,299,269,225,235,230,202,174,182,200,169,159,136
JPN,616,574,556,565,491,462,418,439,406,405,371,331
LUX,5,5,7,8,3,4,6,3,2,1,6,5
SWE,68,89,90,103,67,66,71,71,59,72,69,
CHE,99,98,91,79,91,94,83,93,76,120,92,
DNK,94,84,83,84,95,93,77,67,73,45,47,58
ISR,206,188,202,192,161,147,145,144,147,149,159,
USA,7968,7868,8048,8233,8141,8229,8097,8218,7919,7337,6804,
GBR,,1092,1142,1135,1165,1196,1162,1121,1162,1105,1042,
GRC,148,145,139,109,107,111,104,96,98,89,98,
NZL,86,69,96,83,76,81,68,67,92,77,,
CZE,128,107,117,117,116,123,116,113,125,105,89,101
ESP,474,484,537,499,574,552,525,529,547,517,446,461
KOR,723,936,732,756,668,476,482,506,429,406,499,444
NLD,292,294,313,282,256,292,241,252,218,216,200,200
POL,864,826,783,724,738,687,721,693,714,723,589,563
BEL,,,,139,104,126,129,141,144,114,,
FRA,822,924,869,836,813,774,808,788,781,745,,
IRL,79,70,62,69,69,38,73,46,75,61,74,
SVK,130,82,74,94,93,91,91,79,84,85,85,
DEU,829,856,866,809,791,766,777,853,688,678,671,697
EST,32,23,21,23,24,17,17,18,18,16,16,10
MEX,11266,10452,10714,9991,9556,9441,8868,8517,8376,8382,8202,
PRT,147,141,177,127,,,,93,107,130,73,108
CHL,541,493,451,421,483,449,489,541,469,488,,
NOR,57,57,42,69,45,50,68,50,56,65,48,49
SVN,28,19,22,19,16,27,23,13,20,17,20,
FIN,52,54,44,44,63,41,43,49,45,39,38,33
ISL,7,2,1,3,4,2,1,4,4,3,,
ITA,717,755,749,652,,,663,628,640,669,626,
TUR,,,,,,,,,,,,
