Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,111741,112000,113266,114905,114513,116006,115149,118681,120426,120311,,
EST,9265,9527,9369,9192,9067,8834,8853,8985,8403,8010,7755,7456
AUS,67058,66815,68678,67940,68268,,65322,70569,73548,72320,73484,75330
CZE,54882,53772,54377,55880,54190,54072,52706,52719,53076,54080,54150,54141
ESP,189468,189714,193269,199897,194928,201769,194154,201136,199647,199095,198121,199854
GBR,,287939,289081,289185,278918,277349,274201,274890,276745,270804,270945,
NLD,68773,68319,68998,69012,66359,66362,65294,64797,64902,65365,65977,65259
JPN,525903,528768,535305,551746,557097,584970,581370,592784,608711,609042,633700,656540
NZL,13813,14162,14195,14066,14203,13494,14014,14333,14591,14615,,
SVN,9557,9654,9696,10075,9480,9413,9270,9473,9174,9293,9292,
USA,1177578,1183421,1199264,1201964,1181668,1207675,1201984,1204110,1226225,1217961,1233052,
AUT,35211,34500,35166,35448,34616,34986,34757,34978,35156,36630,36692,36539
BEL,,,,52083,50368,50949,49575,50118,51435,51356,,
HUN,70475,68389,68837,70016,68381,69781,67851,68241,66269,66324,65137,63883
ISR,19161,19002,19322,19332,18999,19329,19073,19809,19495,19124,19639,
ITA,280714,279032,279296,289826,,,276383,280851,284027,286619,285068,
NOR,21676,21634,21617,20595,20025,20065,19621,20218,20316,19864,19976,20029
POL,195390,192861,191655,193910,194687,196786,198298,202235,202341,203826,199833,198178
DNK,27761,27877,28140,28009,27372,26653,27013,26816,26621,26687,26510,25718
FIN,24042,23760,23985,23935,23878,23965,24335,24805,24451,25152,25547,25327
FRA,272040,272271,272999,279020,263076,270630,265458,267843,271671,273461,,
IRL,16192,15691,15390,14882,14801,14412,14602,14391,14457,15044,13833,
SWE,45710,45467,45813,45362,44192,44828,44232,44025,44116,43753,43919,
CHL,42970,44615,44345,45482,46549,46369,45987,47789,46689,49608,,
DEU,388981,383887,389116,396270,383388,388554,385940,391139,397651,404969,409022,407628
MEX,244302,244606,254112,260657,260738,272236,273276,277547,298871,307712,323901,
TUR,,,,,,,,,,,,
CHE,30411,29921,29727,30285,28991,29708,29212,29544,29474,30012,30283,
GRC,55422,53853,54406,54942,55084,55435,54951,57366,56390,57015,56480,
KOR,136486,134058,134742,134887,135218,134382,133725,134922,136932,137735,142358,143250
LUX,1803,1731,1780,1925,1725,1667,1738,1796,1628,1730,1810,1820
PRT,55346,55189,55687,56226,,,,53644,53922,53691,54413,52786
SVK,28157,27705,27415,27702,27304,28151,28091,28226,27994,27446,27645,
ISL,910,924,936,901,963,944,959,1002,982,1033,,
