Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HUN,95,96,83,97,119,130,145,145,171,164,196,203
IRL,,,,,,,,259,226,276,235,
POL,654,720,807,797,975,1082,1129,1116,1161,1306,1350,1461
BEL,,,,1055,942,1143,1174,1258,1458,1504,,
DEU,3047,3130,3365,3433,3076,3275,3493,3145,3307,3461,3430,3719
TUR,,,,,,,,,,,,
ESP,3622,4253,4675,5780,5494,6279,6368,6971,7245,7688,7917,8379
GRC,,,,,,,,,,,,
NOR,170,219,225,309,364,371,400,410,468,489,487,553
SVK,31,38,50,70,77,112,96,142,133,125,155,
SVN,17,18,30,33,33,31,27,21,42,30,39,
USA,35120,38090,41877,45122,46991,51040,51281,52832,57919,55103,58130,
LUX,33,28,28,34,29,30,32,31,35,34,44,43
AUS,1106,1114,1284,1132,1224,,1335,1546,1692,1630,1865,2049
CAN,3459,3769,3831,3873,3940,4071,3996,4164,4606,4349,,
DNK,162,223,275,272,340,376,399,450,462,474,582,569
FRA,5562,6245,7225,8700,8209,9544,10054,10965,12162,12598,,
ISL,33,24,33,43,39,51,46,57,72,61,,
ISR,157,165,158,211,196,225,241,233,267,302,309,
KOR,96,191,689,868,839,797,840,1202,1303,1261,1409,1659
AUT,,,305,430,368,408,447,488,573,547,662,696
NLD,513,559,646,669,653,726,859,884,1073,1173,1349,1457
NZL,226,262,262,271,292,280,311,313,346,347,,
SWE,512,680,741,810,886,937,1013,1107,1138,1177,1290,
CZE,337,403,414,459,486,560,621,321,337,266,266,676
FIN,517,584,781,865,983,1102,1393,1655,1904,2332,2712,3042
GBR,,3567,3730,3977,3755,3815,3903,4498,4885,4877,5324,
ITA,,,,4426,,,4757,5472,5972,6191,6329,
JPN,507,639,762,841,1137,1166,1441,1632,1964,2182,2652,3565
MEX,380,407,458,540,569,662,707,697,785,789,817,
CHE,701,833,909,948,868,951,934,980,954,1065,1068,
CHL,218,376,404,416,514,586,668,758,795,898,,
EST,22,16,16,15,28,22,36,39,26,32,51,44
PRT,,,566,783,,,,894,896,996,1069,1043
