Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,,,5.50,7.60,6.40,6.90,7.60,7.90,8.50,8.40,9.40,9.60
DNK,4.80,6.30,7.10,7.60,9.00,10.00,10.80,11.90,11.90,11.90,14.40,14.20
SWE,7.00,9.00,9.40,10.40,11.80,12.10,13.00,13.80,13.60,13.80,15.20,
CHE,13.80,15.20,16.10,17.10,15.40,16.40,15.30,16.10,15.50,15.70,16.20,
CAN,21.00,22.50,21.80,21.10,20.50,20.50,19.30,19.30,20.70,19.00,,
DEU,5.30,5.40,5.60,5.80,5.20,5.20,5.40,4.80,4.70,4.80,4.80,4.90
GBR,,8.10,8.50,8.80,8.50,8.40,8.30,9.40,10.10,9.80,10.40,
ISR,6.60,6.80,6.60,8.20,7.20,8.30,8.10,7.60,8.60,8.50,8.90,
ITA,,,,9.60,,,9.40,10.30,10.80,11.00,10.80,
KOR,1.10,2.00,6.30,7.70,6.80,5.90,6.30,8.60,8.90,8.30,8.70,9.70
NOR,5.30,6.50,7.30,9.30,10.90,10.20,10.80,11.00,12.90,13.00,12.90,14.20
SVN,2.00,1.80,3.50,3.50,3.40,3.00,2.50,2.00,3.60,2.50,2.80,
AUS,10.60,10.40,11.60,9.80,10.40,,10.80,12.00,12.60,12.00,12.80,13.60
HUN,1.50,1.50,1.40,1.50,1.80,2.00,2.10,2.20,2.40,2.40,2.90,3.10
ISL,23.20,17.20,24.60,25.80,27.90,34.20,30.30,35.30,42.50,38.30,,
MEX,2.20,2.30,2.40,2.60,2.70,3.20,3.10,3.00,3.20,3.20,3.20,
IRL,,,,,,,,12.40,11.00,12.20,10.60,
NLD,5.10,5.50,6.40,6.50,6.30,6.80,7.70,7.90,9.30,9.90,11.10,11.90
SVK,1.30,1.80,2.10,2.60,3.00,4.30,4.00,5.50,5.10,4.50,5.50,
USA,21.00,22.10,23.40,24.70,25.10,26.40,26.00,26.70,28.30,26.50,27.60,
BEL,,,,13.90,13.00,14.90,14.60,15.20,16.90,16.60,,
CZE,5.90,7.00,7.20,8.10,8.50,9.40,10.30,5.30,5.70,4.00,4.00,10.30
ESP,13.00,14.80,15.60,18.50,17.20,18.70,18.40,19.30,19.50,20.20,19.90,20.10
FIN,15.50,17.80,23.10,25.00,28.50,32.00,38.30,43.90,48.70,56.70,64.10,68.40
FRA,12.80,14.40,16.10,19.30,18.00,20.10,19.90,20.40,22.10,21.50,,
PRT,,,8.70,11.80,,,,12.60,12.60,13.10,13.20,11.90
CHL,5.30,8.30,8.90,9.30,10.40,11.40,12.20,13.50,13.30,14.40,,
EST,2.10,1.80,1.70,1.80,2.80,2.20,3.50,3.80,2.40,3.10,4.20,3.90
JPN,0.60,0.80,0.80,0.90,1.10,1.10,1.30,1.40,1.60,1.70,2.00,2.50
LUX,11.20,11.30,10.00,13.60,12.70,12.30,10.90,11.10,12.30,9.30,13.50,13.70
NZL,12.50,13.60,13.10,12.30,13.20,13.10,13.50,13.80,14.90,14.20,,
POL,3.60,4.00,4.10,4.10,4.80,5.30,5.40,5.00,5.10,5.50,5.70,5.90
