Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,73,109,111,113,144,126,111,132,136,128,,
DEU,1749,1482,1383,1234,1108,1110,928,864,869,809,719,694
GRC,,,,,,,,,,,,
ISR,82,66,81,68,67,83,91,80,62,64,54,
POL,602,479,371,374,322,314,294,294,282,255,234,250
SVN,22,28,23,29,20,16,4,3,10,21,17,
AUT,,,111,131,98,95,73,75,88,63,60,38
CHE,,,,,,,,,,,,
GBR,,907,916,936,894,904,850,787,841,758,841,
KOR,1829,2118,2326,1853,1330,1208,1034,1071,1037,893,942,830
AUS,280,241,241,200,211,,256,259,281,280,268,263
CZE,77,78,78,74,53,54,59,67,48,54,53,55
DNK,128,95,101,105,94,58,47,63,42,60,44,41
SVK,34,41,28,37,30,40,23,24,28,30,23,
TUR,,,,,,,,,,,,
CAN,192,185,164,191,159,184,149,140,176,153,,
ESP,611,522,669,694,676,757,581,684,612,772,811,754
IRL,,,,,,,,41,33,32,23,
NLD,48,51,64,75,43,39,40,40,44,36,39,46
NOR,111,107,88,73,69,71,70,61,67,70,60,63
NZL,49,42,49,49,48,43,53,31,44,35,,
USA,2855,2790,2681,2606,2430,2569,2317,2174,2211,2170,2121,
FIN,79,70,65,59,63,66,66,78,78,65,63,71
HUN,113,83,99,130,121,124,102,136,98,86,69,86
MEX,1164,1108,1092,1103,1052,1066,909,842,860,836,831,
PRT,,,83,64,,,,58,50,59,84,75
SWE,130,140,130,122,104,101,109,100,88,106,88,
BEL,,,,150,130,112,86,112,102,101,,
ISL,5,3,2,4,3,1,1,2,1,2,,
ITA,,,,473,,,305,333,303,304,293,
JPN,2173,1928,1899,1855,1707,1633,1488,1405,1263,1205,1167,1215
EST,28,23,17,29,24,26,23,26,30,23,30,21
FRA,933,834,839,862,717,725,633,659,593,654,,
LUX,12,12,10,4,6,3,3,3,6,5,4,5
