Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,51,69,69,66,48,33,35,39,40,22,25,21
JPN,2300,2086,1872,1846,1576,1565,1290,1135,1085,934,898,845
NOR,100,98,82,46,51,47,29,50,46,43,22,32
USA,1632,1479,1580,1493,1386,1315,1296,1274,1186,1222,1284,
AUS,172,175,162,101,106,,133,135,163,131,148,115
CZE,77,54,72,53,43,45,48,47,54,46,40,39
HUN,104,79,107,123,98,123,91,105,80,58,58,43
CHE,,,,,,,,,,,,
FRA,653,606,520,491,383,404,368,349,319,319,,
ISL,1,3,2,1,1,1,1,,1,,,
KOR,1902,2151,2250,1668,1422,1161,1071,952,863,766,774,678
MEX,983,981,1006,1061,898,867,816,751,802,758,781,
NZL,24,30,23,30,21,18,26,30,21,21,,
SVN,19,20,26,22,19,15,4,1,,11,4,
BEL,,,,80,70,58,62,69,47,45,,
ISR,55,45,48,45,48,49,52,44,27,34,25,
LUX,8,7,9,3,11,4,1,5,5,3,,3
TUR,,,,,,,,,,,,
DEU,1726,1404,1318,1188,1033,861,757,699,634,606,505,481
EST,29,22,26,29,21,19,26,24,17,22,15,15
CHL,68,81,66,76,85,73,77,81,68,90,,
FIN,38,31,32,26,17,32,27,30,27,30,25,36
GBR,,502,529,460,510,413,348,386,365,376,305,
GRC,,,,,,,,,,,,
POL,788,585,576,469,422,382,333,336,331,243,188,203
SVK,65,60,37,46,44,38,18,33,24,17,29,
ESP,202,247,225,200,191,205,148,155,177,199,201,198
IRL,,,,,,,,20,19,25,11,
ITA,,,,330,,,208,200,171,191,191,
NLD,39,39,35,40,33,24,28,20,24,22,19,23
PRT,,,75,55,,,,44,59,45,45,47
AUT,,,138,131,103,82,71,63,56,71,27,23
CAN,114,114,76,96,109,81,91,83,83,75,,
SWE,71,71,77,64,47,47,40,57,55,45,41,
