Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,2.40,2.00,2.50,2.50,2.40,2.60,1.90,2.20,1.90,2.30,2.40,2.10
IRL,,,,,,,,2.20,1.70,1.60,1.10,
NOR,4.00,3.80,3.20,2.50,2.40,2.30,2.20,2.00,2.10,2.20,1.80,1.80
SVN,1.90,2.50,2.00,2.70,1.70,1.40,0.30,0.30,0.80,1.50,1.20,
AUT,,,2.10,2.40,1.90,1.80,1.30,1.30,1.50,1.00,1.00,0.60
DNK,4.00,3.00,3.20,3.30,2.90,1.80,1.40,1.90,1.20,1.60,1.20,1.10
SVK,1.50,1.80,1.20,1.50,1.20,1.60,0.90,0.90,1.00,1.10,0.80,
CZE,1.40,1.30,1.40,1.30,0.90,1.00,1.00,1.10,0.80,0.90,0.80,0.80
EST,3.30,2.50,1.90,3.20,2.50,2.80,2.60,2.60,3.00,2.20,2.80,2.00
ITA,,,,1.10,,,0.60,0.70,0.60,0.60,0.60,
KOR,16.40,18.90,19.80,15.40,10.30,8.80,7.20,7.20,6.60,5.50,5.40,4.50
SWE,2.00,2.10,1.90,1.80,1.50,1.40,1.50,1.30,1.20,1.40,1.10,
GBR,,2.50,2.50,2.50,2.40,2.40,2.20,2.00,2.10,1.80,2.00,
NZL,2.70,2.30,2.60,2.60,2.40,2.20,2.60,1.50,2.00,1.60,,
POL,3.30,2.60,2.00,2.00,1.60,1.60,1.40,1.40,1.40,1.20,1.00,1.10
CHL,1.60,2.30,2.40,2.20,2.90,2.40,2.10,2.30,2.30,2.10,,
ISL,4.30,2.40,1.50,3.20,2.30,0.70,0.80,1.30,0.80,1.40,,
LUX,4.90,5.10,4.40,1.50,2.40,1.30,1.30,1.10,2.20,1.70,1.60,1.80
MEX,5.50,5.20,4.90,4.80,4.40,4.20,3.50,3.10,3.00,2.80,2.70,
BEL,,,,2.30,2.00,1.60,1.20,1.60,1.40,1.30,,
FRA,2.50,2.20,2.10,2.20,1.80,1.70,1.50,1.50,1.30,1.40,,
JPN,2.60,2.20,2.10,2.00,1.80,1.60,1.40,1.30,1.10,1.00,0.90,0.90
NLD,0.60,0.60,0.70,0.80,0.50,0.40,0.40,0.40,0.50,0.40,0.40,0.40
PRT,,,1.40,1.00,,,,0.80,0.70,0.80,1.10,0.90
CAN,1.20,1.20,1.00,1.20,0.90,1.10,0.80,0.80,0.90,0.80,,
DEU,3.20,2.70,2.50,2.20,2.00,1.90,1.60,1.50,1.50,1.30,1.20,1.10
FIN,2.50,2.20,2.00,1.80,1.90,1.90,1.80,2.00,2.00,1.70,1.60,1.70
ISR,3.60,2.70,3.30,2.60,2.60,3.10,3.30,2.80,2.20,2.10,1.70,
USA,2.00,1.90,1.80,1.70,1.60,1.70,1.50,1.40,1.30,1.30,1.30,
AUS,3.00,2.60,2.50,2.00,2.10,,2.40,2.30,2.40,2.40,2.20,2.10
HUN,2.00,1.40,1.60,2.10,2.00,2.00,1.60,2.10,1.50,1.30,1.00,1.30
