Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,,2,2,1.8,2,1.6,1.3,1.4,1.3,1.3,1.1,
ISL,1.5,3.5,1.8,0.8,1,0.8,1.2,,0.8,,,
KOR,30.3,33.8,35.9,24.2,19.3,15,13,11.2,9.9,8.8,8.5,6.8
HUN,2.8,2,2.7,3,2.3,3.2,2.3,2.8,2,1.5,1.4,1
PRT,,,1.8,1.2,,,,1,1.3,1,0.9,0.9
CAN,1,1,0.7,0.8,0.9,0.7,0.7,0.6,0.6,0.5,,
CHE,,,,,,,,,,,,
ISR,3,2.4,2.5,2.4,2.5,2.5,2.5,2.1,1.2,1.5,1.1,
MEX,6.6,6.4,5.9,6.1,5.2,4.7,4.2,3.7,3.7,3.4,3.4,
NOR,5.6,5.3,4.4,2.4,2.8,2.5,1.5,2.5,2.3,2,1.1,1.5
SVN,3.2,3,4.2,3.3,2.1,2.2,0.4,0.1,,2.1,0.4,
ITA,,,,1.3,,,0.8,0.7,0.6,0.6,0.6,
NLD,0.6,0.7,0.6,0.7,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3
NZL,1.5,2.5,1.6,1.9,1.5,1.1,1.6,1.9,1.2,1,,
POL,7.4,5.3,5.1,4.2,3.7,3.3,2.8,2.6,2.6,1.8,1.4,1.4
USA,1.5,1.3,1.3,1.2,1.1,1,1,1,0.9,0.9,0.9,
AUS,2.3,2.3,2.3,1.3,1.3,,1.8,1.6,1.8,1.4,1.6,1.2
CHL,2.5,2.8,2.1,2.3,2.3,1.8,2,2.3,1.6,2.2,,
EST,5.6,5.2,5.5,6.2,4.7,4.3,4.3,4.8,3.6,4.6,3.3,3.2
FIN,2.3,1.6,1.7,1.5,1,1.7,1.5,1.5,1.3,1.4,1.3,1.7
FRA,2.7,2.5,2.1,2,1.5,1.5,1.4,1.2,1.1,1.1,,
GRC,,,,,,,,,,,,
LUX,4.7,5.7,5.5,1.6,6.6,1.7,0.5,2.9,3.7,1.3,,1.2
SWE,1.7,1.7,1.8,1.5,1,1.1,0.9,1.3,1.2,1,0.9,
CZE,1.9,1.3,1.8,1.2,1,1,1.1,1.1,1.3,1.2,0.8,0.8
IRL,,,,,,,,1.4,1.2,1.9,0.6,
AUT,,,4.7,4.3,3.3,2.6,2.2,2,1.6,1.9,0.7,0.6
ESP,1.2,1.5,1.2,1.1,1,1,0.7,0.8,0.8,0.9,0.9,0.9
JPN,4.5,4,3.4,3.3,2.7,2.6,2.1,1.7,1.6,1.3,1.3,1.1
TUR,,,,,,,,,,,,
BEL,,,,1.7,1.5,1.2,1.3,1.3,0.9,0.9,,
DEU,5.3,4.1,3.8,3.4,2.9,2.3,1.9,1.8,1.6,1.5,1.2,1.1
DNK,2.2,3,3.1,2.9,2.1,1.4,1.5,1.6,1.6,0.9,1.1,0.9
SVK,4.6,3.6,2.3,3.1,2.7,2.7,1,2.2,1.4,0.9,1.7,
