Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,1780,1760,1774,1681,1537,1570,1607,1719,1633,1759,1805,1762
GBR,,12270,12667,13733,12422,13099,12803,13182,13615,12793,13262,
AUS,2068,2130,2281,2238,2236,,2012,2192,2395,2313,2441,2600
GRC,472,525,456,432,396,412,698,834,839,964,1002,
MEX,6755,6839,7262,7810,8073,9061,8296,8390,8944,9314,10488,
NZL,618,817,716,751,824,723,737,717,820,801,,
POL,1682,1609,1639,2001,1848,2031,2022,2334,2365,2475,2095,2191
FIN,272,288,276,259,235,291,286,281,318,338,308,350
FRA,2520,2185,2257,2563,2285,2625,2394,2577,2604,2678,,
HUN,1356,1143,1137,1435,1385,1882,1838,2014,1754,1913,1812,1974
ITA,6637,5956,6648,8253,,,7228,7730,8029,8383,8054,
LUX,31,36,47,41,33,43,48,47,54,64,49,66
PRT,892,818,825,846,,,,828,820,925,854,866
AUT,954,985,1014,1285,1120,1121,1148,1115,1029,1170,1149,1038
CAN,4023,4043,4184,4383,4455,4650,4395,4841,4899,5045,,
CZE,621,602,581,684,597,839,667,747,821,886,837,962
KOR,1573,1786,2360,2033,1733,1653,1478,1753,1704,1561,1569,1625
SVN,184,212,196,222,155,159,142,152,127,149,133,
DEU,8631,8215,9124,9966,8963,9852,9627,10118,10403,11827,12001,12047
IRL,742,698,614,626,652,659,598,691,590,666,613,
BEL,,,,1742,1494,1663,1481,1647,1624,1649,,
CHL,903,1136,1047,1159,1303,1311,1237,1349,1166,1222,,
ESP,3624,3253,3515,3541,3084,3575,2783,3055,2929,3060,3008,3102
EST,38,34,44,44,55,40,48,62,52,38,46,50
ISL,43,38,34,34,39,40,48,49,38,56,,
JPN,3747,3949,3717,3784,3737,3820,3894,3792,3912,3719,3912,3948
NLD,2486,2367,2347,2589,2281,2653,2605,2674,2733,2706,2696,2887
NOR,665,642,701,731,726,723,838,902,902,892,905,945
USA,58455,59811,60709,62381,60219,65211,62317,63847,71060,69371,69835,
CHE,,,,,,,,,,,,
SVK,253,194,206,217,209,234,206,220,203,200,253,
ISR,521,480,460,435,420,496,470,498,434,394,426,
SWE,1030,1093,1214,1208,1189,1320,1291,1293,1336,1354,1351,
TUR,,,,,,,,,,,,
