Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,17.80,18.10,18.30,23.50,20.20,19.50,19.70,18.70,16.80,18.80,18.20,16.40
BEL,,,,25.30,21.40,23.20,20.20,22.00,21.40,21.00,,
CAN,26.40,26.10,26.30,26.80,26.50,26.90,24.70,26.40,25.90,26.00,,
GBR,,32.40,33.10,35.80,32.10,33.50,32.40,33.10,33.90,31.40,32.00,
POL,9.40,8.80,8.80,10.50,9.40,10.20,9.90,11.00,10.90,11.20,9.20,9.50
SVN,17.10,20.40,17.90,19.60,14.30,13.70,11.40,11.70,9.50,10.60,9.30,
DEU,14.80,14.00,15.50,16.90,15.10,16.20,15.50,16.00,16.20,18.10,18.20,18.00
DNK,56.60,55.30,55.30,52.00,47.00,48.00,48.70,50.30,46.90,50.20,51.00,49.30
SVK,11.40,9.10,9.70,10.00,8.80,9.70,8.30,8.50,7.60,7.30,9.00,
SWE,16.70,17.40,19.20,19.00,18.60,20.50,19.50,19.70,20.10,20.10,19.80,
CZE,11.50,11.10,10.50,12.50,10.60,14.90,11.40,12.40,13.30,14.00,12.90,14.50
GRC,8.40,9.30,8.10,7.60,6.90,7.10,11.40,13.20,12.90,13.90,13.60,
ISL,36.60,30.90,27.40,26.50,29.50,29.40,34.60,34.50,25.60,38.50,,
NZL,35.30,45.10,39.00,40.00,43.10,37.10,36.70,35.00,39.10,37.30,,
PRT,14.90,13.40,13.20,13.30,,,,11.70,11.40,12.40,10.70,10.00
CHL,22.10,26.60,23.40,24.70,27.00,26.40,23.70,24.90,20.70,20.80,,
ESP,13.90,12.10,12.70,12.50,10.50,11.80,8.90,9.50,8.90,8.90,8.50,8.50
HUN,24.40,19.60,19.30,24.10,22.90,30.40,28.90,30.90,26.50,28.40,26.60,28.50
MEX,39.30,38.40,39.30,40.60,40.80,44.70,38.80,37.30,38.30,38.10,42.00,
IRL,45.60,42.30,36.40,36.60,37.20,36.70,32.90,37.30,31.20,34.50,30.60,
ISR,23.20,20.70,19.20,17.70,16.80,19.10,17.60,17.90,15.10,12.90,13.40,
ITA,16.10,13.80,14.90,18.20,,,14.60,15.00,15.00,15.20,14.20,
KOR,14.50,16.10,20.50,16.80,13.40,12.00,10.50,11.90,11.00,9.50,9.00,8.90
NLD,28.30,26.60,26.10,28.40,24.70,28.30,27.20,27.40,27.50,26.70,26.00,27.40
AUS,22.60,22.60,23.40,22.40,22.10,,19.30,19.90,21.20,20.00,20.50,21.30
EST,4.50,4.00,4.90,4.80,5.70,4.60,5.30,6.20,5.30,3.60,4.50,4.90
FRA,6.10,5.20,5.40,6.10,5.40,6.00,5.20,5.40,5.40,5.30,,
JPN,4.40,4.40,4.00,3.80,3.60,3.50,3.40,3.20,3.10,2.90,2.90,2.80
LUX,11.70,14.60,19.00,16.70,13.00,16.50,18.30,18.00,19.70,22.90,16.50,21.80
FIN,8.40,8.80,8.30,7.60,6.90,8.40,8.10,7.70,8.50,9.00,8.00,9.00
NOR,24.10,23.20,24.70,25.70,25.20,24.90,28.70,30.40,30.70,29.90,29.90,30.60
USA,40.80,41.00,40.90,41.60,39.60,42.00,39.60,39.90,42.50,40.70,40.20,
