Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,37.4,36.5,35.9,35.8,34.5,35.1,31.6,33.5,33.1,31.9,,
FIN,21,20.9,20,18.9,16.4,19,19.1,18.5,17.6,18,16.8,17.5
ISR,29.8,26.6,25.9,23.5,22.3,23.8,22.2,22.8,19.6,18.3,19.4,
AUT,27.1,27,28,35.1,30.2,29.8,29.1,29,25.8,26.7,26.1,24.7
ESP,36.8,32.9,35.2,34.9,30.6,33.7,26.6,28.2,26,26.8,25.5,24.9
GBR,,42.9,43.2,45.6,41,42,40.2,40.2,41.2,38.4,38.1,
GRC,14.3,15.4,13,11.2,11.1,10.8,16.6,18,18.1,19,18,
MEX,53.6,51.2,52.4,54.3,54.5,57.6,51.6,49.2,50.5,49.8,53.7,
SVK,20.7,18.2,18.4,19.7,18.1,19.4,16.2,18,15.6,15.9,17.7,
SWE,21.6,21.8,23.3,23.2,22.3,23.7,22.5,22.3,22.6,22,21.8,
USA,49,48.6,48.3,48.3,45.9,48.4,45.3,45.9,48.4,46.1,45.5,
NLD,47.2,43.7,42.7,43.8,37.9,41.6,39.9,39.8,38,37,34.8,36
BEL,,,,44.5,39.3,40.3,35.8,37.6,36.9,36.1,,
CHE,,,,,,,,,,,,
DEU,25.1,23.1,24.9,26.8,23.8,24.6,23.5,23.8,23.8,26.2,25.7,25.4
EST,12.6,10.8,12,12.8,15.7,12.3,14,14.6,14.9,10.5,12.3,11.9
ITA,29.4,26,26.4,31.9,,,25.6,25.9,25.3,25.5,23.9,
AUS,34.4,32.6,33.6,31.4,30,,25.7,27,28.2,26.3,26,27.4
FRA,12.1,10.9,11.2,12.3,10.8,11.8,10.3,10.5,10.6,10,,
HUN,39.3,31.7,31.6,37.8,34.7,46,45.4,47,42.2,42.9,41,42.7
KOR,23.2,26.3,33.1,28.2,25.5,22.5,20.7,22.4,20.8,19.1,18.5,18
LUX,27.3,27.7,31.2,28.5,24.3,27.1,25.2,25.5,24.8,30.4,25.9,28.6
CZE,19.3,18.6,17.9,19.9,17.6,23.7,18.5,20.7,20.6,22.3,19.3,23
NOR,31.8,30.9,33,33.2,32.3,33.8,35.5,37.6,39.2,36.9,36.9,37
POL,20.9,19.6,19.7,22.6,21.3,22.5,21.8,23.4,22.5,22.7,18.5,19.3
SVN,35.9,37.1,33.6,36.6,27.1,26.7,21,19.9,19.3,18.8,18,
TUR,,,,,,,,,,,,
CHL,30.6,36.4,31.4,33.1,35.8,34.7,31.6,33.7,27.3,28.1,,
DNK,64,64,61.6,59.4,53.1,52.5,53.1,54.2,52.4,55.4,53.6,53.9
IRL,61.7,55,52.4,51.8,48.7,45.6,43.5,45.8,40.3,44.2,36.3,
ISL,35.9,28.4,34,34,31.9,33.9,35.2,37.1,30.7,38.1,,
JPN,10.3,10,9.5,9.5,9,9.1,8.7,8.5,8.5,8,8.2,8.1
NZL,48.4,57.5,51.7,51.8,52.9,44.4,44.9,42.6,46.1,42.3,,
PRT,26.1,24.1,24.3,24.2,,,,21.7,20.9,22.4,20.2,18
