Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,4594,4658,4719,4505,4734,,4473,4721,5028,4762,4935,4959
CHE,2044,2053,1933,1975,1935,2062,1951,2014,2078,1923,2063,
CZE,4480,4314,4282,4227,4346,4170,4074,4032,3928,3977,4011,3911
MEX,4259,4400,4536,4595,4600,4795,4543,4291,4414,4316,4303,
SWE,1766,1803,1773,1810,1823,1938,1898,1787,1896,1830,1922,
CAN,9650,9931,10195,10203,10136,10284,10214,10439,10336,10572,,
GBR,,20441,20281,19789,19512,19475,19647,19700,19897,19760,19447,
HUN,5727,5741,5661,5849,5852,5336,5400,5581,5597,5687,5741,5558
ISR,891,933,976,952,1024,960,1072,1045,1066,1078,1232,
NZL,860,841,866,848,929,864,807,864,889,877,,
POL,15984,16397,16725,16335,16565,16562,16658,16582,16880,16392,16204,15988
PRT,2337,2361,2453,2583,,,,2696,2619,2720,2910,2898
USA,90469,90426,90171,89964,89630,90187,89280,88372,88586,87747,87744,
AUT,2285,2258,2393,2339,2319,2317,2354,2246,2386,2386,2386,2322
FRA,20585,20643,20875,20996,21398,21901,22036,22144,22153,22387,,
IRL,981,933,925,980,984,934,964,1020,991,1063,961,
ITA,25503,25800,25765,25833,,,25467,25425,25366,25350,25457,
JPN,39053,39904,41146,41634,43921,45189,45941,47685,48610,49035,50395,50782
NLD,6297,6403,6388,6156,6468,6359,6254,6389,6387,6427,6536,6586
NOR,1121,1143,1234,1205,1174,1186,1213,1224,1208,1230,1242,1267
TUR,,,,,,,,,,,,
EST,566,551,561,578,511,500,562,567,559,476,506,493
FIN,1392,1410,1383,1403,1379,1413,1464,1460,1386,1432,1547,1435
LUX,157,136,149,158,142,138,147,160,112,158,144,142
DEU,29144,28564,28742,28677,28820,28980,28898,29143,29505,29158,29381,29653
KOR,8580,8867,9219,9307,9820,10098,10447,10545,10899,10892,11416,11503
SVK,1887,1766,1688,1624,1657,1715,1628,1614,1617,1592,1588,
SVN,733,739,716,754,792,805,800,832,803,733,805,
DNK,1997,1957,1868,1929,1993,1950,2077,1841,1956,1877,1929,1825
GRC,4725,4777,4778,4836,5037,5063,5100,5186,5321,5341,5263,
BEL,,,,4955,4826,5038,5004,4913,5010,4908,,
CHL,1273,1329,1349,1310,1460,1478,1540,1536,1456,1585,,
ISL,52,57,50,58,54,73,59,74,62,63,,
ESP,15477,16254,15995,16537,16651,16647,16894,17194,17163,17296,17303,17512
