Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,54.00,52.60,54.80,54.40,53.20,53.90,52.30,,
CZE,57.60,56.00,55.10,53.90,54.40,52.20,51.50,49.90,48.40,47.90,48.10,47.50
DNK,63.30,63.00,60.40,61.70,64.30,63.40,65.60,56.80,60.20,58.40,58.90,55.90
ESP,41.10,42.30,41.30,42.00,41.90,41.10,41.20,41.30,41.00,40.80,40.80,39.70
JPN,37.70,37.30,37.00,36.00,36.90,36.90,36.60,36.80,36.50,35.90,36.00,35.50
PRT,26.70,26.20,27.50,28.10,,,,28.50,27.50,28.50,29.20,28.80
AUS,42.50,42.00,42.00,39.60,40.50,,38.40,39.50,40.10,38.30,38.80,37.70
CAN,61.10,61.50,62.20,61.30,60.70,60.30,59.70,59.20,58.00,57.70,,
FRA,41.60,41.40,41.80,41.70,42.00,42.90,42.60,42.40,42.40,42.50,,
AUT,39.70,38.30,40.30,38.60,38.90,37.80,38.00,37.60,38.90,37.80,38.20,37.20
CHE,38.40,37.20,35.30,36.20,35.50,36.30,36.00,36.30,36.00,34.20,35.60,
CHL,23.30,23.50,23.30,22.30,23.70,23.70,24.30,23.70,22.20,23.00,,
HUN,77.80,75.10,75.00,76.80,76.50,69.40,70.30,73.80,75.10,75.60,76.70,74.90
ITA,47.40,47.20,46.40,45.40,,,43.70,43.30,42.70,42.40,42.10,
POL,60.60,61.60,62.30,60.90,60.30,60.50,60.30,60.20,60.20,58.70,57.60,56.20
GBR,,53.90,53.70,52.60,51.60,51.80,52.40,52.20,52.50,51.30,50.40,
GRC,48.30,48.10,47.30,47.70,48.40,47.40,46.90,46.90,47.90,47.20,46.20,
NZL,45.10,45.10,45.20,44.10,45.50,41.70,41.10,41.70,43.50,41.30,,
SVK,51.80,47.60,45.10,43.80,44.00,44.80,43.00,42.40,42.40,41.40,42.00,
IRL,53.90,50.10,48.60,51.20,51.30,49.40,49.60,50.20,49.50,50.60,45.80,
ISL,48.40,48.00,43.20,49.70,49.40,53.10,48.50,54.10,51.00,49.50,,
KOR,45.70,46.40,47.60,46.60,46.60,46.30,45.90,45.00,44.60,43.00,43.50,42.30
FIN,35.00,35.40,34.00,34.60,33.00,33.70,33.90,33.70,32.40,32.20,34.40,32.00
LUX,47.30,42.90,43.00,51.00,42.80,44.20,42.20,51.80,33.30,46.90,40.60,40.30
NLD,57.60,57.90,58.10,56.80,58.70,58.40,57.40,58.30,58.00,57.00,57.30,57.80
EST,47.00,47.40,47.20,48.80,44.70,43.60,48.00,47.00,46.90,40.40,42.00,42.50
NOR,39.60,40.40,42.20,42.00,41.80,42.10,42.50,43.80,43.50,41.80,43.10,42.80
USA,65.60,64.60,64.20,63.30,62.30,61.60,60.30,59.10,56.30,54.90,53.70,
DEU,42.60,41.50,41.50,41.10,41.00,41.20,40.80,40.90,41.20,40.50,40.70,41.00
ISR,31.20,31.30,31.80,30.70,31.80,29.90,32.70,31.10,30.70,30.40,33.10,
MEX,16.60,16.50,16.50,16.10,15.90,15.80,14.70,13.70,13.60,12.90,12.60,
SVN,47.70,47.50,46.90,49.20,49.80,50.50,48.80,51.10,49.10,45.00,48.30,
SWE,29.90,31.10,30.70,30.70,32.00,33.30,32.60,31.90,32.50,31.40,31.70,
