Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,4909,4868,4957,4848,4802,,4274,4523,4733,4512,4339,4427
CHE,1758,1747,1716,1758,1626,1635,1568,1585,1526,1510,1589,
NLD,4702,4616,4835,4489,4310,4032,3891,3700,3588,3426,3462,3302
AUT,3136,2934,2957,2572,2076,2108,2103,2031,2040,2010,1869,1914
GBR,,25274,25583,24988,23017,21899,21315,20404,20359,19171,19294,
ISR,1202,1349,1221,1133,1181,1184,1111,1109,916,924,1006,
KOR,16537,17035,17511,17176,16166,14886,14460,13941,13553,12648,12865,12185
PRT,9110,8829,8438,8218,,,,6482,6288,6127,6137,5625
SVK,2140,2132,2203,2182,2096,1946,1850,2389,2796,2660,2514,
SVN,911,815,842,837,798,728,664,679,800,867,829,
DEU,29179,28650,28331,27386,25170,24786,24403,23555,23780,23853,23576,23041
DNK,2032,2129,2306,2290,2148,2025,1969,1853,1660,1655,1690,1447
IRL,1116,1093,993,963,848,901,785,805,881,872,777,
MEX,12018,11956,12371,12604,12750,12875,13102,13619,14322,14402,15009,
NOR,1851,1762,1721,1553,1541,1507,1391,1361,1438,1376,1280,1343
ESP,15019,14979,14929,15298,14201,14611,13853,14070,13452,13216,12632,12152
EST,1112,1022,1005,1069,894,888,860,723,620,534,501,498
FRA,15940,15723,15405,15565,13985,14328,13772,13646,13497,13322,,
HUN,8559,8360,8340,8322,7771,6837,6416,6492,6176,6246,6083,5804
BEL,,,,3341,3118,3072,2986,2986,3083,3016,,
CAN,6421,6379,6390,6332,5959,5767,5722,5719,5650,5823,,
CHL,3573,3629,3699,3915,3735,3686,3708,3791,3875,3961,,
ISL,72,87,68,68,75,65,77,72,62,75,,
ITA,27383,26388,26545,27351,,,24222,24135,25318,24957,24086,
LUX,155,146,155,151,125,122,133,116,122,142,130,118
CZE,6991,6529,6479,6621,5797,5808,5538,4666,4615,4820,4522,4306
POL,17867,17908,17400,17332,17059,16702,16569,16580,16334,15913,15334,15230
TUR,,,,,,,,,,,,
FIN,1858,1887,1787,1900,1801,1792,1785,1789,1707,1756,1702,1799
NZL,1048,1036,1079,969,1049,940,999,986,970,937,,
USA,64769,63177,62622,61426,58800,56586,54526,54115,53525,52093,52384,
GRC,7867,7603,7827,7590,7415,7256,7235,6733,6744,6654,6238,
JPN,63127,63146,62229,63274,61547,63657,61348,60992,61121,59293,60186,59616
SWE,4215,4069,4037,3926,3696,3555,3370,3291,3470,3349,3111,
