Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,104.3,93.7,92.6,87.3,64.3,59.9,58.9,54.9,52.3,49,49.3,44.4
IRL,100.6,91.1,83.8,76.8,71.9,62.7,63.3,67.7,65.1,62.9,60.6,
MEX,72.9,71.8,71.3,69.5,66.9,66.5,62.3,63,63.4,61.3,62.4,
POL,137.7,138.9,132.7,127.6,122.3,116.9,110.4,104.5,98.8,94,89.8,87.5
DNK,85.9,84.4,88.2,85.4,82.4,77.4,74.7,63.7,60.8,57.7,57.9,51.8
AUS,79.2,74.9,73.9,70.6,68.2,,61.1,59.5,60,53.8,53.5,51.4
ISR,63.6,62.6,63.2,55.3,58.3,56.8,52.2,51,39.3,39.1,39.7,
SWE,85.8,83.7,84.1,79.3,74.4,65.9,65.6,61.6,64,60.3,57.8,
CHL,92.1,87.4,83.7,84.7,81.3,78.3,72.7,74.8,67.7,69.8,,
KOR,144,141.1,146.9,138.4,123.1,108.5,99.4,94.2,84.2,73.5,72.3,67.4
NLD,83.6,80.1,80.4,75.1,70.8,65.5,60.9,57,54.3,52.9,50.1,46.6
NOR,84.5,79.6,81.1,76.5,70.7,65.7,64.8,60.4,61.3,55.6,53.8,53
NZL,89.8,93.8,91.7,88.3,88.8,81,80.1,75.9,74.2,68.8,,
CAN,59.4,57.5,55.7,53.5,50.2,46.5,43.7,43.2,41.5,40.7,,
CHE,57,52.5,50.5,54.3,46.5,46,44.7,44.8,43.8,40.4,36.9,
ESP,83,81,76.6,77.5,68.6,66.8,61.1,59,55.4,52.4,49.5,45.6
GRC,197.8,197.4,193.8,193.6,181.7,171.1,161.2,152.2,141.5,127.5,117.7,
ISL,88.3,75.5,76.1,78.2,63.2,61.7,57.6,69.9,56,53.9,,
PRT,200.8,190.3,179.4,172.7,,,,121.4,115.5,110.1,103.8,88.9
BEL,,,,71.6,69.7,65.1,59.5,57,55.4,53,,
FIN,97.8,90.1,91,86.8,80.7,74.7,74.7,67.2,64.7,65.3,61.2,59.6
GBR,,102.3,102.3,100.1,91.6,85.9,79.4,75.7,74.3,68.2,66,
USA,68,64.8,63.3,59.9,56,52.1,48.8,47.7,45.3,42.4,41.9,
DEU,85.9,82.6,81.4,79.6,71.9,68.4,63.7,58.6,58.5,56.6,54.1,50.3
EST,212.5,214,212.3,197.2,173.9,164,150.7,120.6,98.1,85.3,82.9,70.1
FRA,54,52.8,50.8,51.3,45.7,44.4,40.9,37.8,38.2,36.5,,
ITA,96.4,90.3,88,91.9,,,74.3,72.6,71.6,69.3,64.2,
LUX,101.4,103.2,102.4,90.4,85.6,75.1,75,72.9,63.5,64.7,65,54.5
SVK,111.8,114.8,115.3,116.6,111.7,98.6,90.5,111.7,128.5,123.9,122,
TUR,,,,,,,,,,,,
CZE,198.6,198.1,195.1,198.8,166.2,164.1,150.1,120,117.1,118.4,110.1,99.1
HUN,188.9,178.3,172.8,172.8,160.4,141.6,127.3,123,117,115.5,113.6,106.8
JPN,82.5,77.8,73.6,71.4,67.4,65.5,60.7,57.5,55.1,50.8,49,47.9
SVN,110.6,108.1,109.9,108.2,97.5,85.1,70.6,78.9,86.1,93.5,79.7,
