Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FRA,71.1,69.2,66.7,66.4,58.1,57.7,53.2,50.9,49.4,46.6,,
ISR,73.1,80.2,70.9,64.6,65.8,62.9,57.8,55.8,44.8,42.7,45,
ITA,118,110.2,108.5,110.5,,,89.4,85.7,86.3,82.1,76.5,
PRT,241,228,213.4,204,,,,146.1,138.6,132.3,128.1,107.3
TUR,,,,,,,,,,,,
AUT,120.5,110,111.5,96,74.1,72.6,69.9,63.9,62.6,59.3,53,52.7
HUN,264.6,240.5,240.3,238.8,218.4,192.4,176.9,176.5,164.6,165.2,158,149.9
JPN,124,119.2,112.9,110.8,104,103.2,95.7,91.4,88.2,82.4,81.6,77.8
ESP,95.9,93.3,90.3,89.8,80.3,79.8,73.2,71.6,66.3,63.4,59,54.1
NOR,105.5,99,96.5,86.3,83.4,80.5,72.7,69.9,72.3,68.4,62.5,64.5
NZL,95.2,89.9,91.9,80.2,84.5,73.4,74.2,70.5,67.3,61.5,,
EST,274.9,251,243.9,260.4,211.7,205.4,200.8,161.7,135.4,118.3,108.4,105.4
FIN,112.4,110.7,101.1,105,97.1,92.9,89.4,87.5,79.9,79.2,74.4,75.9
IRL,110.5,104,93.8,89.9,74.4,78.1,66.2,68.7,71,67.4,58.3,
SVK,148.7,156.8,160.1,157.9,148.5,133.2,123.2,155.6,177.5,167.3,157.4,
SVN,158.2,148.2,148.9,146.4,133.6,116.5,98.6,101.2,116.9,121,110.3,
SWE,101.6,97,95,91.5,84.8,80.5,74.7,71.9,74.8,71.3,65.1,
BEL,,,,85.6,77.2,72.9,68.5,65.5,66,62.2,,
CAN,67.9,66.4,64.3,62,55.8,51.8,49.6,47.4,45,44.8,,
CHE,66.4,65,60.8,62.3,55.6,55,51,50.3,47.2,44.9,45.7,
DNK,99.1,103.9,111.9,109.9,102.3,95.7,89.9,80.9,72,70.4,70.6,59.3
ISL,89.2,102.7,73.1,74.8,80,67.9,77.4,68.5,59.8,66.7,,
KOR,201.8,202.6,204.7,191.5,173.4,152.7,144.1,134.6,125.7,111.8,109,100.2
MEX,83.4,80,79.5,78.8,76.9,76,73.2,71.2,73,70.1,72.1,
AUS,83.8,80.1,78.2,73.9,72.2,,61.3,59.6,60.2,55,50.8,49.7
CHL,124.3,118,116.2,117.3,109.7,104.3,100,98.4,96.3,94.9,,
DEU,103.4,99.5,96.1,91.3,80.5,76.5,71.3,66.1,64.5,62,59,55.5
GRC,187.6,179.3,178.5,168.1,161,149.4,143.5,126.8,122.6,116.6,103.3,
USA,72.7,68.5,65.6,62.7,58.3,54.3,50.8,50.1,47.1,44.6,44.1,
CZE,242.6,230.3,224.6,232,198.6,192.9,177.8,142.3,134.7,138.2,124.2,114.8
GBR,,110.4,110.1,106.4,96,88.7,83.9,77.9,75.9,69.8,68.2,
LUX,120.8,114.1,122.9,111.4,93.7,88.8,89.3,77.5,75.9,86.3,76.4,66.4
NLD,94,90.4,92.8,84.9,80.2,73,68.2,62.6,58.8,54.5,52.8,49.2
POL,172.8,171.4,163.1,160.8,152.1,145,140.3,135.9,129.6,124.3,116.5,112.5
