Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,1957,1892,1817,2060,2032,1474,1218,1005,1035,1489,1370,802
GRC,492,577,507,470,517,523,489,565,536,530,438,
HUN,3067,3087,3174,3116,3023,2102,1852,1901,1972,2013,1944,1864
MEX,2248,2302,2243,2280,2250,2333,2287,2125,2244,2296,2177,
POL,4094,3928,3717,3662,3708,3648,3668,3867,4090,3557,3755,4047
ISL,18,24,19,10,11,15,30,25,22,25,,
SVK,473,433,376,366,404,472,,,487,432,460,
SVN,338,342,297,365,309,321,437,485,550,556,525,
AUS,577,630,627,717,873,,1160,1337,1461,1450,1670,1845
CHE,1093,1071,1086,1202,1137,1100,1276,1308,1324,1378,1506,
DNK,582,319,275,385,374,287,312,271,320,360,466,519
JPN,6245,6409,6328,6722,6412,6702,6601,6951,7170,7312,7517,7686
NOR,880,882,856,843,783,353,341,348,389,400,438,420
AUT,987,969,976,1098,1016,1166,954,821,863,866,878,865
ESP,1503,1485,1590,1624,1668,1763,1647,1740,1845,1920,1982,2112
FRA,5292,5265,5391,5852,5354,5333,5239,5409,5563,5909,,
GBR,,3373,3239,3447,3763,3860,3985,4088,4220,4433,4496,
PRT,501,654,624,858,,,,359,351,352,344,327
TUR,,,,,,,,,,,,
CAN,1562,1727,1769,1978,2229,2305,2580,2677,3098,3602,,
EST,134,139,141,152,116,127,113,112,124,132,92,86
ISR,88,81,84,100,87,93,83,93,104,111,133,
LUX,36,36,40,49,27,38,42,34,38,40,53,49
BEL,,,,1145,1243,1138,1075,1216,1335,1249,,
KOR,2731,2767,3143,3517,3351,3153,3417,2996,2481,2145,2129,2144
NZL,251,290,304,337,355,329,383,422,474,455,,
CHL,305,297,558,685,720,725,843,760,705,735,,
IRL,347,376,366,367,305,340,329,247,282,281,224,
ITA,9756,10427,10552,2780,,,2926,2958,3007,3241,3188,
NLD,735,905,895,1067,1103,1182,1264,1330,1372,1537,1624,1682
USA,13322,15019,16257,17229,18807,19656,20823,22636,24013,24802,26014,
DEU,7404,7099,7160,7877,7913,8548,8381,7728,8333,8492,9479,9722
FIN,1053,1038,1122,1184,1131,1239,1178,1112,1154,1188,1185,1212
SWE,486,543,588,682,746,788,786,795,891,821,875,
