Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CZE,22.1,22.5,21,24.2,24.6,15.9,11.4,9,8.2,10.7,10.3,5.1
ITA,14.2,14.8,14.4,2.8,,,2.7,2.8,2.6,2.7,2.7,
KOR,7,7,10.2,11.3,9.9,9.1,9.7,7,5,3.3,2.5,2.5
SVK,6,4,3.4,3.7,4.4,4.8,,,3.6,4.3,4.9,
AUT,9,8.4,8.7,10.6,9,10.2,7.6,5.9,6.1,6,6.1,6.1
ESP,2.5,2.4,2.5,2.6,2.5,2.5,2.5,2.4,2.5,2.7,2.7,2.9
EST,4.6,4.9,6.7,6.5,5.4,5.2,3.6,4.2,3.6,5.6,3,3.2
DEU,7.1,6.7,6.9,7.4,7.5,7.8,7.2,6.5,6.8,6.8,7.3,7.4
FIN,16.1,15.4,16.7,16.2,15.4,15.3,14.6,13.4,13.5,12.6,13.5,12.7
GRC,3.2,3.4,2.6,2.6,2.7,2.8,2.4,2.5,2.3,2.1,1.9,
ISL,0.8,6.4,5.5,1.4,1.3,5.8,11.9,8,5.8,9.2,,
ISR,1.2,0.9,1.2,1.2,1.6,1.4,1.3,1.7,1.6,1.8,2,
MEX,2.4,2.1,2.2,2,1.9,1.9,2,1.6,1.7,1.6,1.5,
POL,14.3,13.4,12.1,11.7,11.1,10.3,9.4,8.7,8.9,7.5,7.7,7.9
SVN,17.4,17.3,12.6,17.5,15,14,19.8,20.4,22.4,21.8,19,
TUR,,,,,,,,,,,,
AUS,2.8,2.9,3,3.2,4.3,,5.5,5.9,6.2,5.6,6.7,7.1
HUN,32.7,31.2,32.4,31.3,28.9,17.8,14.2,15,14.6,14.5,14.6,13.4
SWE,3,3.9,3.7,4.4,4.7,5.4,4.7,4.8,5.4,5,5.1,
USA,4.1,4.5,4.9,5.2,5.5,5.7,5.9,6.4,6.5,6.6,7,
CHE,11.4,11.3,11.8,13.2,11.8,10.9,12.4,12.4,12.7,12.6,13.8,
NZL,7.7,8.6,8.7,9.1,9.4,7.6,10.2,11.2,11.6,11.2,,
FRA,6.7,6.7,6.7,7.5,6.6,6.4,5.9,6,5.8,6,,
JPN,3,3,2.7,2.9,2.6,2.6,2.5,2.6,2.5,2.6,2.5,2.4
PRT,3.5,4.8,3.6,6.6,,,,1.8,1.9,1.8,1.7,1.6
CHL,1.3,1.4,5.4,6.7,6.7,6.4,7.3,6.1,5.8,6.1,,
GBR,,4.5,4.2,4.5,5,4.9,5,5,5.2,5.1,5.2,
IRL,12.8,11.5,11.7,10.6,8.6,8.8,8.9,5.8,7.3,6.7,5.4,
NLD,4.7,5.5,5.6,6.6,6.3,7,7,7.2,7.6,8.1,8.2,8.5
NOR,16.1,15.7,14.2,14.1,13.1,5.2,4.5,4.7,5.6,5.5,6.6,5.8
BEL,,,,9.3,9.7,8.4,7.4,8.6,9,8.6,,
CAN,4.7,5.3,5.2,5.7,6.6,6.2,7.1,7.2,8,8.9,,
DNK,9.4,4.3,3.7,5.5,6,3.6,4.3,3.2,4.6,5.5,6.8,7.1
LUX,6.4,6.8,8.4,9.9,5.6,5,7.7,5.8,7.9,8.5,8.2,6.6
