Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,3.6,3.8,3.7,4.2,5.1,,6.5,7,7.4,7.1,7.9,8.4
AUT,12.3,12,12,13.6,12.2,13.7,10.8,9,9.3,9.1,8.9,8.7
CHL,3.1,3,6.8,8,8.3,8,9,7.6,7,7.1,,
FRA,8.4,8.4,8.6,9.3,8.3,8.1,7.6,7.5,7.6,7.7,,
ITA,15.4,15.8,15.6,4.1,,,4.1,4,3.9,4.1,3.9,
NLD,5.3,6.4,6.3,7.4,7.6,7.9,8.3,8.5,8.5,9.3,9.6,9.6
CAN,6.2,6.8,6.7,7.3,8,8,8.6,8.6,9.6,10.8,,
DNK,10.7,5.9,5,7,6.8,5.1,5.5,4.6,5.4,6,7.8,8.4
GBR,,5.5,5.2,5.5,5.9,6,6,6,6.1,6.3,6.3,
LUX,8.8,9.5,10.1,12.5,7.1,9,9.9,7.7,8.6,8.4,10.9,9.8
SVN,21,21.9,17.9,22.3,18.5,18.6,24.9,26.6,28.2,27.3,24.8,
SWE,4.6,5.1,5.5,6.2,6.8,7,6.9,6.9,7.6,6.8,7.2,
CHE,14.6,14.1,13.7,15.2,14.2,13.4,15.1,15,14.8,15,15.9,
HUN,37.4,35.4,36.9,35.8,33.9,22.5,19.2,19.4,19.5,19.6,18.6,17.5
PRT,5.1,6.5,6,8.4,,,,3.2,3,3,2.8,2.5
DEU,8.5,8.1,8.2,9,9,9.4,8.9,7.9,8.3,8.2,9,8.9
ESP,3.7,3.6,3.7,3.7,3.7,3.8,3.4,3.5,3.6,3.7,3.7,3.8
EST,10.4,10.9,10.8,11.7,8.8,9.5,8.6,8.2,9.1,9.4,6.5,6.1
KOR,10.1,10.1,13,14.2,13,12,12.7,10.1,7.6,6,5.1,5.2
ISR,1.9,1.7,1.8,2.1,1.8,2,1.7,1.9,2,2,2.4,
NOR,18.6,18.3,17.5,17,15.6,7,6.6,6.6,7.3,7.4,8,7.6
TUR,,,,,,,,,,,,
USA,5.5,6,6.4,6.7,7.1,7.3,7.5,8.1,8.3,8.4,8.7,
BEL,,,,10.7,11.4,10.1,9.3,10.2,10.9,9.9,,
FIN,21.7,21,22.3,23.1,21.5,22.9,21.1,19.4,19.6,19.5,19,18.9
JPN,4.7,4.6,4.4,4.5,4.2,4.2,4,4.1,4.1,4,4,3.9
CZE,24.5,24.3,23.8,27.3,26.3,17.9,14.2,11.1,10.8,15.1,13.7,7.7
GRC,4.6,5.3,4.5,4.2,4.6,4.5,4.1,4.7,4.3,4.2,3.4,
MEX,4.5,4.5,4.3,4.2,4.1,4.1,4,3.5,3.6,3.6,3.3,
NZL,8.6,9.7,9.9,10.8,11.1,9.9,11.3,12.1,13,12.1,,
SVK,11,9.7,8.2,7.9,9.1,10.2,,,10,8.7,9.4,
IRL,13.2,13.9,13.2,12.7,10.3,11.2,10.6,7.4,8.5,8.2,6.2,
ISL,8.5,10.8,8.5,3.9,4.5,6.4,12.4,10,8.8,9.5,,
POL,16,15.4,14.2,13.8,13.4,12.8,12.2,12.2,12.5,10.6,10.8,11.2
