Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,,114690.00,113197.00,110404.00,103593.00,99943.00,95322.00,93364.00,91646.00,87799.00,87549.00,
ITA,107433.00,105372.00,105726.00,105874.00,,,96438.00,97366.00,98652.00,97770.00,96647.00,
NLD,23638.00,22803.00,22966.00,22634.00,21357.00,20773.00,19850.00,19333.00,18769.00,18318.00,18275.00,17881.00
SVK,13558.00,13384.00,13154.00,13114.00,13042.00,13434.00,13506.00,13472.00,13130.00,12840.00,12856.00,
BEL,,,,16568.00,15984.00,15597.00,14828.00,15020.00,15169.00,15035.00,,
GRC,24885.00,24232.00,24730.00,24936.00,24471.00,23823.00,23930.00,23784.00,23278.00,23146.00,22413.00,
NOR,8659.00,8539.00,8321.00,7668.00,7293.00,6886.00,6595.00,6742.00,6601.00,6203.00,6105.00,6005.00
POL,83678.00,82692.00,80136.00,81358.00,79924.00,79255.00,79708.00,80783.00,81528.00,83613.00,81484.00,79346.00
AUT,16259.00,15518.00,14783.00,13653.00,12946.00,13048.00,13170.00,13398.00,13129.00,13573.00,13719.00,13572.00
DNK,9754.00,10040.00,9692.00,9520.00,8955.00,8507.00,8141.00,7712.00,7293.00,7073.00,7005.00,6373.00
PRT,18675.00,18465.00,18698.00,18432.00,,,,15265.00,15008.00,14856.00,14962.00,13878.00
AUS,23778.00,23718.00,23875.00,23283.00,22853.00,,20600.00,22280.00,22899.00,21993.00,21633.00,21867.00
CHE,11011.00,10787.00,10428.00,10575.00,9888.00,10320.00,10110.00,10107.00,9861.00,9860.00,9924.00,
FRA,75140.00,73966.00,73251.00,73567.00,69336.00,70037.00,68154.00,68239.00,68278.00,67182.00,,
HUN,31827.00,30951.00,31199.00,31840.00,30846.00,32636.00,30483.00,30622.00,29409.00,29555.00,29191.00,28555.00
IRL,6449.00,6109.00,5926.00,5572.00,5433.00,5220.00,5030.00,4984.00,4967.00,4845.00,4636.00,
KOR,28266.00,28092.00,29214.00,28510.00,27888.00,27171.00,26996.00,27411.00,26600.00,26128.00,26740.00,26718.00
MEX,48272.00,49337.00,51757.00,53797.00,53882.00,56323.00,56907.00,59317.00,64340.00,65503.00,70289.00,
SVN,3395.00,3261.00,3167.00,3266.00,3157.00,3295.00,3110.00,3222.00,3033.00,3017.00,3071.00,
CZE,26468.00,25712.00,25652.00,26110.00,24919.00,24573.00,23810.00,23564.00,23532.00,24051.00,24132.00,24121.00
ISL,363.00,376.00,396.00,377.00,413.00,336.00,361.00,375.00,363.00,381.00,,
JPN,144629.00,145694.00,147338.00,151469.00,149913.00,159268.00,155787.00,156268.00,160062.00,157862.00,163018.00,165140.00
DEU,161360.00,160315.00,160629.00,162210.00,152468.00,152274.00,149578.00,150472.00,148452.00,150334.00,149471.00,145555.00
ESP,57056.00,56457.00,57058.00,58726.00,56359.00,57742.00,55433.00,56998.00,55741.00,54815.00,54406.00,53835.00
FIN,9925.00,9623.00,9670.00,9687.00,9458.00,9347.00,9576.00,9756.00,9623.00,9858.00,9999.00,9869.00
SWE,20877.00,20440.00,20093.00,19754.00,18596.00,18734.00,18282.00,17922.00,17742.00,17315.00,17054.00,
CAN,38080.00,37068.00,36778.00,37188.00,36048.00,35381.00,34358.00,34672.00,34860.00,34326.00,,
EST,4296.00,4396.00,4338.00,4334.00,4127.00,4078.00,4107.00,4066.00,3964.00,3743.00,3687.00,3392.00
LUX,636.00,606.00,633.00,696.00,596.00,579.00,631.00,596.00,580.00,604.00,562.00,570.00
USA,437893.00,430046.00,431626.00,425774.00,408541.00,407935.00,396622.00,389994.00,390371.00,384834.00,385764.00,
CHL,11230.00,11497.00,11594.00,12231.00,12358.00,12376.00,12273.00,12725.00,12362.00,12690.00,,
ISR,5865.00,5732.00,5565.00,5536.00,5364.00,5283.00,5084.00,5479.00,4925.00,4738.00,4951.00,
NZL,5349.00,5463.00,5451.00,5224.00,5401.00,4915.00,5161.00,5018.00,5010.00,5019.00,,
