Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,388.2,374.8,360.2,363.2,358.3,345.2,327.3,325.2,302,297.3,,
EST,1049.7,1061.3,1024.7,1035.8,966.5,957.9,956.1,908.4,886.8,828.4,807,724.9
IRL,589.3,550,522.5,480.7,454.1,424.9,406.4,394.4,382,358.8,331.8,
ITA,448.2,426.8,419.9,416.8,,,349.8,340.5,333,319.3,306.1,
NZL,455,453.2,439.2,410.5,416.7,365.3,372.1,343.8,333,321.4,,
POL,818,798.8,761.8,773,732.7,707.3,687.6,676.8,664,667.8,630.9,597.3
SVK,939,963,953.7,953,913.5,927.3,917.3,882.2,849,817.5,812.3,
SVN,594.2,571,558.5,562.3,529.4,544.2,481.1,485,440.6,421,411,
CAN,384.2,366.9,353.4,344.4,323.1,306.8,286.1,276.9,268.1,254.3,,
DNK,473.3,482.8,463.5,452.4,421.2,394.5,368.8,337.5,312.5,297.5,292,257.3
FIN,566.7,540.3,529.5,515.2,488.9,471.3,469.3,461,438.3,435.2,427,408.3
KOR,336.4,328.4,335.5,311.9,291.7,273.8,263.7,262.4,243.8,226.8,223.9,217.2
AUT,601.3,565,538.5,497.4,463.9,445,432.6,420.8,403.5,402.1,391.8,374
ESP,353.5,343.3,336.9,338.5,314.1,311.5,289.2,288.3,273.6,261.4,253.1,239.2
FRA,331.1,322.3,316.1,313.5,288.6,281.7,263.8,254.8,251,235.3,,
LUX,464.7,438.8,461.8,508.1,429.6,396.6,418.3,385.2,369.5,373.5,328.7,312.3
SWE,502.1,485.7,472.4,459.1,427,423.2,405.2,390.4,380.5,366.2,355.5,
CZE,846.9,833.4,833.5,852.1,793.9,761.4,714.8,677.6,652.6,654.6,638.1,615.8
GRC,570.9,547.6,544.4,534,513.9,479.7,463.9,442.2,420.2,403.1,372.2,
MEX,330.7,325.2,327.7,331,320.9,327.6,313.4,309,323.5,317,334.6,
USA,476.1,452.7,439.2,423.1,395.7,383.3,362.7,354.2,336.5,323.3,318.6,
CHE,405.7,391.9,363,367.1,336.2,341.8,324.1,314.6,298.7,289.3,282.6,
DEU,547.7,532,525.6,522.7,476.3,458.9,431.5,417.7,399.1,390.2,373.4,351.2
ISR,351,336.6,322.5,314.8,297.1,284,264.3,275.5,239.5,218.6,220.3,
NLD,447.3,426.9,421.6,408.9,380.2,360.4,335.1,318.3,299.6,284.4,275.5,261.5
NOR,488,474,460.2,420.6,391.9,363.7,340.6,343.1,330.1,304.7,293.8,284.2
TUR,,,,,,,,,,,,
BEL,,,,412.5,388.9,368.8,336.3,329.5,321.8,309.6,,
HUN,983.4,893.9,903.8,920.3,877.9,914.9,835.2,826.8,785.2,778.3,760.8,733.6
JPN,279.6,270.8,263.8,262.3,251,256.1,242.1,233.9,231.2,220,221.4,216.5
PRT,486.8,468.5,464.6,451.4,,,,342.2,330.6,320,311,265
AUS,385.9,370.7,361.3,340.6,329.2,,287.8,284.7,283.6,262.1,247.8,240.4
GBR,,476.7,464.4,448.4,413.1,389,361.7,345.6,332,311,302.1,
ISL,420,427,429.3,408.7,431.5,341.9,355.9,355.1,338.3,339.7,,
