Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,13.7,14.2,14.3,13.6,13.7,14.4,14.8,,
EST,29.3,30.5,33.5,27.7,30.4,34.6,33.1,39.7,39.9,29.6,29.3,25.7
POL,24.7,23.3,22.8,22.2,24.3,25.8,25.8,27.9,28.7,26.4,24.2,23.9
SWE,7.2,8.2,8.4,9.1,8.2,9.1,8.8,8.5,8.8,7.8,8.1,
CAN,11.7,11.4,11.4,11.2,10.6,10.7,10.7,11.4,11.5,10.8,,
CHE,,,,,,,,,,,,
AUT,34.3,32.9,31.1,33.4,30,29.9,26.2,27.1,24.2,26.5,25,22.3
DEU,28.4,27.4,27.6,27.1,25.2,24.3,22.9,21.6,21.2,20.6,20.3,19.7
IRL,6.2,8.6,6.1,6.5,8.4,8.1,8.4,11.1,10.6,10.3,9.8,
LUX,25.2,23.1,29.4,23.4,24.9,15.4,21.7,20.1,19.5,16.1,15.8,12.6
NOR,6.8,6.2,7.1,6.4,8.5,4.8,5.3,6,5.6,4.8,5.5,5.4
SVK,47.4,43,44,42.4,36.7,42,44.3,44.2,42.5,41,40.5,
CHL,48.9,52.1,53.2,52.4,48.6,43.2,41.2,38.2,39.9,39.2,,
ESP,19,18.9,18.3,17.9,17,16.9,16.5,16.6,15.1,15.9,15.1,14.5
FIN,18.1,19.5,21.1,20.2,25.6,27.4,27.3,31.2,30.8,30.9,29.7,27.1
ISR,8.5,7,6.5,7,6.1,6.5,7.4,6.9,6.4,6.9,5.7,
FRA,22.3,22.2,21.4,21.2,19.1,18.6,18.2,17.7,17.5,17,,
GRC,9,9.7,8.7,9.2,8.7,9.5,10.1,9.5,9.6,10.1,9.4,
HUN,105.8,93.5,91.6,89.7,86.6,75.3,75.3,76.4,74.4,71.3,64.2,57.3
ISL,2,,,2.6,1.8,5.6,3.9,6.2,3.5,4.1,,
JPN,14.2,13.9,13.2,13.1,12.9,12.9,12.6,12.1,11.9,11.6,11.6,11.4
KOR,49.8,48.3,47.8,44.2,39.5,34.1,30.4,28.5,26.4,23.9,23.1,21.7
MEX,81.2,79.4,78.4,78.2,75.8,74.7,70.6,68.6,68.8,64.8,62.6,
PRT,28.3,30,24.9,23.4,,,,21.3,19.2,19.5,19.6,18.5
SVN,52.8,56.6,47.6,54.5,44.6,37.4,41,44.5,44.3,42.6,41.8,
USA,15,14.7,14.4,14.5,13.9,13.9,13.6,14.3,14.1,13.9,14.4,
CZE,26.2,26.1,26.3,27.1,26,27.3,25.6,27.6,26.8,25.4,25.1,23.5
NLD,7.1,6.6,6.9,6.6,6.7,6.5,6.2,6.2,6.4,6.4,5.8,5.8
GBR,,14.4,14.8,15.9,15.4,15.6,16.2,16.1,16.3,15.2,15.5,
TUR,,,,,,,,,,,,
AUS,8.1,8.1,9,8.3,8.3,,7.5,7.2,7.8,7.5,7.7,7.2
DNK,21.7,20.4,19.6,20.5,19.7,19.9,21.3,19,20.5,19.9,19.9,16.7
ITA,23.8,23.6,21.2,19.4,,,16.4,15.6,15.4,14.9,13.8,
NZL,4.5,5.5,5.1,4.3,4.5,4.6,5,4.5,5.5,4.2,,
