Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,1112,955,987,1029,1002,962,934,890,924,889,971,920
GRC,247,265,254,223,240,197,208,222,163,214,256,
ISL,5,4,12,10,6,6,6,8,4,5,,
ITA,1410,1466,1428,1798,,,1385,1319,1349,1323,1338,
PRT,255,252,261,231,,,,169,181,152,135,155
AUT,207,180,203,224,232,229,209,222,247,271,258,255
BEL,,,,248,231,219,205,236,255,242,,
CHE,273,246,238,265,219,256,265,230,215,235,237,
NZL,191,167,200,188,179,153,192,186,182,172,,
POL,1438,1292,1194,1109,1082,1087,985,1041,987,1021,976,930
CAN,920,892,890,912,865,917,865,866,893,896,,
DNK,220,208,186,205,199,190,172,176,146,99,94,124
MEX,9538,9116,9111,8843,9006,9216,9275,8701,8810,8967,9027,
NOR,142,157,141,139,162,128,136,138,133,134,126,126
SVK,179,147,189,184,141,157,153,146,140,158,147,
SWE,285,245,240,234,264,251,271,243,195,218,216,
AUS,622,601,578,596,585,,511,595,614,638,610,546
KOR,939,948,974,872,738,605,571,599,526,470,493,501
LUX,2,7,7,6,8,5,2,6,2,1,9,4
NLD,601,610,523,557,532,527,548,452,441,460,452,471
USA,10578,10442,10687,10518,10498,10410,10489,10424,10288,9856,9674,
CZE,111,142,118,127,82,116,104,164,145,142,135,156
DEU,1643,1612,1572,1621,1576,1528,1473,1451,1442,1563,1572,1619
GBR,,2030,1975,2046,1950,2047,1980,1981,1902,2065,1974,
ISR,225,227,249,249,253,278,244,277,270,287,257,
JPN,2702,2595,2577,2362,2468,2324,2306,2322,2186,2070,2194,2102
SVN,49,51,56,51,56,40,34,48,36,33,31,
CHL,975,908,945,916,963,929,887,872,814,926,,
EST,54,49,42,46,43,39,43,43,43,35,32,33
FIN,190,169,152,174,171,192,183,171,175,184,150,173
IRL,200,192,202,211,165,181,179,195,194,187,178,
TUR,,,,,,,,,,,,
FRA,1708,1630,1440,1550,1518,1480,1500,1543,1431,1488,,
HUN,368,361,324,332,286,339,383,381,351,358,361,344
