Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,3.5,3.5,3.2,3.4,3.1,,2.9,2.9,3.1,3.2,2.8,2.5
DEU,2.5,2.6,2.4,2.7,2.6,2.5,2.2,2.4,2.4,2.5,2.4,2.6
DNK,4.3,3.9,3.5,4.4,3.7,4.4,4,3,2.5,1.9,1.9,2.2
IRL,5.7,4.7,5.6,5,3.9,3.7,5,4.6,4.1,3.7,3.8,
NLD,3.9,4.1,3.5,3.7,3.4,3.4,3.5,3,2.7,2.9,2.9,3.2
EST,4.8,6.3,5.3,4,3.6,2.7,4,3.9,3.8,2.2,1.9,2.7
ISL,2.1,1.5,4.7,4.3,1.9,3.1,2.6,3,0.6,2.6,,
KOR,2,2.2,2.5,2.3,1.9,1.6,1.7,1.5,1.4,1.2,1.4,1.3
LUX,0.9,1.6,2.4,2,2.2,1.3,0.9,1.7,0.4,,1.6,0.9
CHE,4.1,4,4.2,4.5,3.1,4.3,3.9,3.3,3.5,3.4,3.2,
CHL,5.5,5.1,5.6,4.9,5.5,5.2,4.8,4.9,4.8,5,,
MEX,6.9,6.5,6.4,6,6,6.1,6.1,6,6.2,6.4,6.4,
NOR,3.3,4.2,3.3,3.1,3.8,3.2,3.6,3,2.7,2.9,2.6,3.2
ESP,3.4,3,2.9,3,2.9,2.7,2.6,2.4,2.2,2.2,2.4,2.2
GBR,,3.8,3.8,3.7,3.6,3.8,3.6,3.6,3.2,3.6,3.3,
ITA,3.2,3.3,3.1,3.6,,,2.9,2.6,2.6,2.6,2.7,
CAN,3.6,3.5,3.3,3.3,3,3.4,3.2,3,2.9,3,,
HUN,4.7,4.4,3.7,4.5,3.4,4.4,4.8,4.5,4.7,4.2,4.6,4.5
NZL,5,4.5,5.4,5.4,4.1,4.4,5.4,4.4,4.8,3.9,,
SVK,4.2,3.7,3.9,4.6,3.3,4,3.9,3.5,3.5,3.3,3.5,
BEL,,,,2.8,2.3,2.4,2.1,2.6,2.5,2.5,,
GRC,3.5,3.4,3.6,3.2,3.1,2.2,2.3,2.8,2,2.6,2.9,
JPN,2.7,2.6,2.5,2.3,2.5,2.3,2.3,2.2,2.1,2,2.2,1.8
SVN,3.4,4.2,3.8,3,2.8,2.2,2.2,2.3,2.2,1.7,1.2,
SWE,3.8,3.2,3.6,3.1,2.9,3,3.2,2.7,2.2,2.6,2.3,
FRA,3.3,3,2.6,2.8,2.7,2.7,2.7,2.9,2.4,2.5,,
AUT,3.4,3.3,3,3.2,3.5,3.3,3,2.8,3.7,3.8,3.9,4.1
CZE,1.4,2.2,1.8,1.6,1.2,1.4,1.6,2,1.6,1.3,1.7,1.7
FIN,4.4,4,3.1,3.7,3.7,3.7,3.4,3.6,3.8,3.3,2.6,3.3
ISR,2.9,2.4,2.8,3.2,3.1,3.1,3,3,3.1,2.9,2.4,
POL,4.6,4.2,4.1,3.9,3.9,3.7,3.5,3.6,3.2,3.2,3.1,2.9
PRT,3.2,2.9,3,2.5,,,,1.8,2.1,1.7,1.4,1.9
TUR,,,,,,,,,,,,
USA,4,3.8,3.8,3.7,3.6,3.6,3.7,3.5,3.4,3.2,3.1,
