Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,21180.00,21878.00,23607.00,23941.00,23653.00,24342.00,22308.00,21871.00,22330.00,22769.00,23131.00,23552.00
DNK,1433.00,1373.00,1462.00,1360.00,1288.00,1337.00,1302.00,1307.00,1281.00,1322.00,1248.00,1355.00
NOR,655.00,717.00,680.00,699.00,621.00,795.00,824.00,823.00,713.00,700.00,702.00,711.00
SVN,491.00,545.00,591.00,678.00,617.00,519.00,391.00,267.00,274.00,235.00,255.00,
SWE,1770.00,1875.00,1914.00,1909.00,1953.00,1979.00,1997.00,1960.00,1999.00,1939.00,1936.00,
AUT,1388.00,1460.00,2028.00,3034.00,3760.00,3710.00,3641.00,3115.00,3385.00,3294.00,3011.00,2902.00
CAN,6714.00,7098.00,7868.00,7970.00,7823.00,7881.00,7261.00,7394.00,7521.00,6923.00,,
ISL,19.00,27.00,15.00,23.00,21.00,21.00,27.00,26.00,26.00,27.00,,
ITA,17648.00,17833.00,17620.00,19759.00,,,19297.00,19898.00,20233.00,20823.00,20620.00,
FRA,10816.00,11060.00,11203.00,11842.00,10891.00,11296.00,10973.00,10992.00,11177.00,11168.00,,
GBR,,6999.00,7046.00,7211.00,6795.00,6621.00,6439.00,6362.00,6450.00,6139.00,6180.00,
IRL,412.00,398.00,418.00,418.00,459.00,471.00,539.00,514.00,482.00,471.00,487.00,
JPN,12303.00,12147.00,12635.00,12879.00,12637.00,13621.00,13650.00,13999.00,14462.00,13987.00,14422.00,14664.00
NLD,3345.00,4283.00,4079.00,3791.00,3769.00,3759.00,3510.00,3266.00,3202.00,3052.00,3002.00,2756.00
BEL,,,,1665.00,1672.00,1708.00,1617.00,1618.00,1761.00,1774.00,,
CHL,2501.00,2951.00,2990.00,3278.00,3415.00,3382.00,3335.00,3503.00,3141.00,3253.00,,
FIN,572.00,524.00,545.00,528.00,547.00,519.00,473.00,530.00,540.00,436.00,456.00,478.00
MEX,46614.00,49833.00,54814.00,59084.00,62098.00,67090.00,68349.00,69177.00,75382.00,76116.00,81380.00,
NZL,802.00,782.00,805.00,847.00,844.00,839.00,860.00,847.00,877.00,869.00,,
CHE,1558.00,1603.00,1618.00,1835.00,1563.00,1430.00,1380.00,1430.00,1534.00,1419.00,1250.00,
GRC,839.00,700.00,811.00,855.00,1013.00,1063.00,1317.00,1394.00,1242.00,1063.00,1075.00,
KOR,10720.00,11379.00,12065.00,12077.00,11730.00,11776.00,11564.00,11272.00,10234.00,9757.00,10349.00,10775.00
POL,5190.00,5060.00,5126.00,5226.00,5078.00,5447.00,6014.00,6359.00,6599.00,6761.00,6512.00,6766.00
AUS,3009.00,3093.00,3296.00,3425.00,3566.00,,3490.00,3818.00,4181.00,4176.00,3946.00,4209.00
HUN,2280.00,1819.00,2352.00,2608.00,2362.00,3598.00,3137.00,3029.00,2865.00,2654.00,2559.00,2782.00
ISR,2379.00,2525.00,2400.00,2788.00,2526.00,2419.00,2386.00,2444.00,2453.00,2379.00,2280.00,
LUX,53.00,51.00,54.00,51.00,43.00,45.00,55.00,49.00,51.00,40.00,69.00,55.00
USA,69301.00,71372.00,73249.00,74219.00,73138.00,75119.00,72451.00,71390.00,70553.00,68771.00,69128.00,
ESP,9253.00,9581.00,9754.00,10099.00,9966.00,10339.00,9675.00,10152.00,10153.00,9985.00,9799.00,9995.00
EST,126.00,159.00,132.00,162.00,286.00,226.00,236.00,250.00,224.00,208.00,152.00,164.00
CZE,1414.00,1207.00,1276.00,1440.00,1358.00,1424.00,1487.00,2430.00,1979.00,1967.00,1945.00,2378.00
PRT,3138.00,3962.00,4447.00,4551.00,,,,4395.00,4278.00,4614.00,4748.00,4545.00
SVK,758.00,762.00,730.00,772.00,748.00,722.00,714.00,640.00,625.00,674.00,651.00,
