Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,11.6,11.3,6.5,9.5,22.9,16.8,15.3,20.1,14.7,17.5,13.9,12.3
FIN,11.3,12.7,13.2,10.6,11.8,12.9,10.2,11.7,11.2,9.2,9.1,10.4
GRC,7,6.5,7.1,7.4,9,9.6,10.8,11.3,9.4,8.5,8.5,
ITA,27.5,26.6,26.5,28.7,,,27.1,27.4,27.2,27.5,27,
MEX,117.8,121.5,132,136.3,139.3,147.7,146.8,145,152.2,149.3,157.3,
NOR,16.9,17.5,17.4,16.8,15.4,19.9,20,19.3,16.5,15.1,16.5,15.7
SVN,29.5,33.2,32.6,48,39.2,33.5,22.9,14.7,13.9,12,13.6,
SWE,20,20.9,21.7,21.4,22.5,21.3,22.3,21.5,21.6,20.6,20.5,
CAN,31.7,32.1,35.9,35.3,34.7,33.1,30.2,30.2,29,25.9,,
CZE,17,13.7,15.4,17.3,15.4,16.4,17.1,27.7,22.4,22.1,20.6,24.4
HUN,23.9,18.7,24.9,27,24.7,38.3,34.3,31.4,29.8,27.6,26.9,27.3
POL,16.9,16.3,16.7,17.2,16.1,18.4,19.4,20.4,20.4,20.5,19.1,19.5
AUT,19.1,19.4,28.1,41.5,50.8,48.4,45,38,39.6,39.3,35.3,34.1
BEL,,,,15.1,14.1,16.1,14.7,13.9,15,14.3,,
DNK,34,29.3,34.3,33.4,30.4,30.6,29.8,29,27.9,27.7,27.3,29.4
FRA,21.1,21.3,20.5,21.8,20.2,20.5,19.5,18.7,19.2,18.1,,
NZL,32.7,30.9,32,31.5,31.2,30.7,29.4,27.6,28.7,28.6,,
AUS,24.2,24.2,25.3,25.3,25.3,,23.1,23.8,25.5,24.4,22.3,23.5
CHL,37.6,41.4,41.9,46.3,44.1,41.9,40.7,42.7,36.1,36.3,,
ISL,12.6,14.1,7.8,10,15,10.7,11.7,11.3,13,12.3,,
ISR,62.1,65.8,61.7,69.7,61.6,59.6,55.3,55.6,52.3,49.3,47,
NLD,24.1,31.7,29.4,26.7,26.9,26.3,24.6,22.6,21.7,19.7,19.9,17
PRT,30.9,38.6,41.6,44,,,,41.1,38.6,40.9,40.1,35.5
DEU,24.7,25.2,26.7,26.8,26.7,26.6,24.1,23,22.9,22.6,23,23.1
KOR,54.2,57.1,56,55,51.1,50.1,48.4,46.1,41.3,37.6,38.8,39.7
LUX,11.2,13.8,17,14.2,11.7,12.5,13.9,12,8.6,8.4,20.7,12
USA,32.2,32.6,33.1,33.5,32.6,33,31.7,30.8,29.2,28.2,28.1,
ESP,21.8,22.4,21.9,22.8,21.6,21.8,19.7,21,20.5,19.8,19,18.4
GBR,,13.7,13.4,13.5,12.6,11.8,11.4,11,11.1,10.1,10,
JPN,11.1,10.6,10.7,10.4,10.1,10.4,10.3,10.2,10.3,9.7,9.8,9.7
SVK,18.7,19.7,18.4,20.5,17.4,18.1,16.7,16,15.9,17.1,14.2,
CHE,21.9,22.5,23.6,25.9,21.6,19.7,18.8,19.3,20,19.2,15.6,
IRL,18.7,17.7,18,19.2,20.6,19.9,22.7,22.6,19,18.9,19.8,
TUR,,,,,,,,,,,,
