Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,2800,2800,2832,2743,2760,2868,2925,2667,2744,2721,2710,2444
EST,636,664,673,642,648,690,667,725,725,634,614,552
FRA,23709,24167,24087,24548,22903,23177,23088,22966,23544,23499,,
MEX,42200,42716,44208,45527,45636,47635,47272,48705,51350,52188,53911,
NLD,5337,5358,5574,5856,5604,5384,5429,5396,5401,5146,5266,5130
NZL,721,740,850,705,789,685,816,803,859,934,,
BEL,,,,4491,4409,4600,4439,4610,4711,4598,,
ESP,18419,18407,18947,19576,19357,19624,19351,19650,19476,19557,19097,19576
IRL,1050,1047,1025,1002,1008,1033,1037,1162,1129,1156,1065,
ISR,1253,1201,1284,1224,1292,1294,1362,1397,1249,1408,1357,
NOR,1420,1370,1364,1304,1391,1234,1272,1230,1286,1292,1262,1282
SWE,2914,2938,3167,3132,2913,2898,3041,3028,3095,2901,2720,
USA,84015,85833,86710,87741,86305,87366,87609,89159,91097,89454,91351,
CAN,8148,8191,8454,8699,8660,8952,8951,9841,9769,9668,,
POL,14653,14556,14772,14923,15658,16526,16291,16755,17079,16791,16235,16434
CZE,4239,4418,4435,4607,4537,4823,4730,4747,4743,4809,4664,4531
GBR,,27067,27900,28786,28736,29001,29642,29467,29808,28933,29491,
ISL,51,47,47,64,52,58,52,51,58,63,,
ITA,25039,25073,24719,24008,,,23134,23203,23578,23705,23808,
LUX,203,195,163,165,176,150,183,169,161,176,164,167
GRC,2618,2416,2502,2470,2358,2452,2542,2554,2534,2585,2576,
JPN,38268,38556,38452,39264,40241,41802,42429,43066,43802,44172,45503,46755
PRT,4141,4469,4579,4612,,,,4550,4583,4639,4641,4555
SVK,2623,2599,2784,2689,2655,2782,2864,2981,3024,2946,2845,
SVN,1220,1266,1224,1267,1180,1055,1040,1193,1173,1138,1152,
FIN,2048,2010,2036,2011,2331,2466,2409,2637,2460,2600,2460,2438
KOR,14848,14362,14070,12831,12049,11208,10670,10762,10769,10658,11062,11134
AUT,3464,3349,3588,3603,3336,3354,3098,3294,3043,3168,3111,2982
HUN,10047,9548,9189,9445,9144,8505,8638,8814,8468,8217,7739,7306
TUR,,,,,,,,,,,,
AUS,4145,4053,4485,4494,4525,,4290,4804,4970,5014,5120,5199
CHE,2389,2391,2354,2476,2253,2401,2489,2514,2422,2539,2473,
CHL,5693,6348,6374,6600,6562,6130,6226,6314,6445,6726,,
DEU,40712,40918,41849,42263,42213,42787,42973,42163,43686,42288,42684,40507
