Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KOR,85.4,79.5,75.1,65.5,57.7,52,48.1,47,45.5,42.2,41.9,41.3
NOR,35.1,34.1,32.7,29.2,32.5,27.4,27.9,27.6,27.8,26.6,26.7,25.5
SVN,90,92.5,89.6,94.6,82.4,72.5,71,77.7,76,71.8,70.2,
CHE,38.3,37.6,38.5,36.9,33.4,34.9,35.1,33,34.1,32.8,31.8,
PRT,57.9,62.2,62,60.3,,,,53.6,53.6,53.2,52.4,48.9
SWE,32.2,32.8,35.3,34.5,30.7,32.9,32.7,31,32,28.7,28.1,
AUS,31.1,29.1,30.9,30.6,30,,28.2,28.7,28.1,27.8,27.3,27.1
AUT,56.7,54.2,56.6,58.3,51,51.5,44.3,47,42.4,43.6,43.3,39.7
BEL,,,,48.6,46.5,48.5,45.9,44.5,45.2,44.9,,
CAN,38.2,37.4,37.2,36.6,35.5,35.1,33.8,36,35.2,33,,
CZE,58.2,60.5,61.1,61.2,61,63.8,60.8,59.7,57.3,57.5,54.2,52.6
ESP,58.7,58,57.1,58.2,55.7,54.3,52.4,51.8,49,48.2,46.3,45.1
CHL,94.4,99.6,97,95.5,93,83.4,81.7,78.5,77.6,81.1,,
GBR,,49.2,50.2,51.5,50,49.7,50.7,49.3,49.5,47,47.1,
SVK,90.5,86.9,90,85.6,80.8,82.2,87.4,87,87.2,82.3,80.2,
GRC,31,29.1,28.4,28.4,26.8,26.5,25.8,26.5,24.9,25.2,23.8,
MEX,135.6,131.4,132.1,133.2,130,130.8,124.4,123.1,125.8,123,122.9,
USA,40.7,40.3,39.7,39.6,37.8,37.8,37,37.6,37,35.8,36,
FIN,51.9,48.6,49.8,50,55.1,58.8,55.3,60.3,53.5,57.7,53.9,51.5
HUN,152.6,135.2,133.7,130.5,127.5,118.7,119.8,121.6,115.3,110.2,102.2,93.8
POL,64.6,62.1,62.9,62.3,63.9,67.2,62.8,64.4,63.9,61.7,58.3,57.8
IRL,44.7,44.6,39.4,37.9,37.1,35.9,38.3,41.7,37.1,38.4,32.9,
ISL,26.2,22.5,20.5,29.5,22.9,28.1,19.5,24.8,27,20.8,,
JPN,37.5,36.5,35.3,34.9,34.4,34.6,34.1,33.4,32.8,32.2,32.5,32.4
LUX,58.7,61.8,48.2,56.7,58.7,36.1,49.4,40.2,36.9,47.9,40,39
NZL,26.7,27.3,28.4,24.7,26.1,22.9,26.5,23.5,25.4,28.4,,
TUR,,,,,,,,,,,,
DEU,58.7,57,57.3,57.3,56,55.1,53.2,51.7,51.4,49.3,48.7,45.8
DNK,64,57.9,57,58,57.5,57,59.4,51.3,54.2,53.7,51.8,46.2
EST,68.8,71.8,72.8,66.1,67.8,72.3,70.7,75.8,74.9,70.7,63.6,53.6
FRA,51.1,51.9,50.5,51.4,46.9,46.5,45.3,43.4,44.3,42.3,,
ISR,36.4,32.6,34.4,32.6,33.1,32.3,31.7,31.3,28.9,30,27.4,
ITA,49.7,48.7,45.6,43.8,,,39.3,37.9,37.3,36.2,35.6,
NLD,42.8,41.4,42.7,44.8,41.7,39.6,38.2,37.8,36.2,34.5,35.2,32.2
