Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,1754,1701,1694,1586,1582,1672,1749,,
GRC,614,536,590,608,687,690,795,874,860,707,681,
KOR,5956,6256,6652,6456,6265,6131,6112,5946,5501,5209,5489,5684
GBR,,4789,4915,5049,4784,4812,4653,4625,4638,4549,4596,
NLD,2719,3130,3006,2790,2718,2645,2487,2378,2365,2216,2171,2078
PRT,2293,2706,2896,3020,,,,2916,2948,3160,3276,3200
ESP,6693,6817,7144,7352,7250,7564,7027,7234,7316,7416,7442,7542
FRA,11130,11298,11637,13672,10715,10966,10690,10626,10893,11138,,
LUX,44,37,44,40,47,37,49,51,52,37,49,50
NZL,486,473,488,522,518,510,569,538,568,538,,
DEU,15059,15414,16661,17081,16644,17261,16056,15779,16310,16912,17243,17435
ITA,12370,12749,12376,14591,,,13865,14337,14624,15060,14801,
SVK,460,449,428,446,464,435,442,393,388,407,418,
CAN,4470,4786,5156,5216,5079,5256,4796,4821,5016,4710,,
CHE,1073,1096,1081,1235,1055,974,934,964,1042,941,873,
CZE,846,739,766,855,824,848,870,1499,1232,1208,1232,1592
FIN,389,341,324,348,334,295,297,321,348,275,277,268
DNK,936,958,1113,1029,940,1036,984,951,871,936,851,774
EST,90,112,108,138,190,161,174,167,169,129,99,123
SVN,340,368,403,411,365,318,239,174,186,150,161,
USA,52625,53632,54326,53921,52531,54473,51488,51003,50993,49535,49618,
HUN,1523,1184,1471,1650,1465,2335,1983,2031,1894,1713,1698,1875
ISL,9,18,12,17,14,15,18,18,16,18,,
ISR,1629,1625,1618,1896,1748,1631,1638,1707,1792,1714,1617,
JPN,8369,8337,8638,8903,8875,9752,9549,10110,10542,10154,10822,11063
TUR,,,,,,,,,,,,
AUS,2031,2107,2241,2289,2507,,2501,2736,2984,2995,2906,3083
AUT,885,951,1289,1912,2439,2559,2563,2325,2528,2419,2183,2095
CHL,1785,1949,1974,2138,2302,2257,2229,2317,2062,2209,,
IRL,294,293,320,278,336,345,376,362,334,316,327,
MEX,32587,34251,36719,39576,40507,43446,43418,44135,47578,47743,50552,
NOR,461,523,504,515,462,633,643,652,575,589,546,575
POL,3458,3396,3400,3395,3364,3408,3774,3825,4084,4121,3971,4167
SWE,1119,1216,1150,1181,1141,1228,1193,1188,1287,1187,1209,
