Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,1105,1002,1115,1096,1286,1403,1528,1694,1605,1404,1360,
KOR,11779,12273,12855,12762,12382,12402,12225,11959,11053,10562,11146,11715
LUX,63,63,75,77,73,68,86,81,76,57,97,84
NOR,847,942,912,933,829,1126,1141,1146,1005,1011,1008,1017
POL,5712,5571,5639,5727,5641,5950,6486,6758,7027,7149,6868,7124
SVK,795,793,758,796,785,765,749,706,695,734,719,
CZE,1476,1263,1334,1488,1416,1486,1561,2623,2211,2171,2188,2794
HUN,2452,1952,2519,2751,2499,3965,3473,3455,3253,3019,2949,3131
ITA,21320,21508,21433,24027,,,23556,24484,24999,25840,25766,
PRT,4555,5430,4984,5250,,,,5218,5126,5493,5651,5520
DEU,23671,24363,26355,27191,27041,28271,26624,26377,27331,28137,29233,29822
MEX,59802,62869,68255,72969,75262,81022,81835,83852,90583,91495,97413,
CAN,8558,9101,10044,10199,10172,10266,9570,9885,10053,9552,,
CHL,3310,3651,3759,4148,4243,4251,4242,4493,3978,4277,,
EST,156,177,153,192,318,256,262,285,262,229,177,191
IRL,582,577,604,588,660,680,764,727,649,654,670,
SVN,529,587,631,722,627,537,416,293,316,283,295,
BEL,,,,2784,2666,2710,2618,2582,2741,2821,,
DNK,1882,1771,2145,1994,1846,1949,1922,1880,1743,1833,1719,1665
ESP,10892,11223,11593,12147,11918,12421,11523,12237,12337,12462,12598,12789
FIN,664,610,641,618,631,631,592,640,667,563,606,597
FRA,19008,19382,19724,22792,18856,19285,18753,18737,19462,19529,,
GBR,,8859,9048,9240,8764,8730,8478,8518,8695,8337,8512,
ISR,2899,2957,2887,3413,3090,2945,2923,3098,3151,3049,2961,
TUR,,,,,,,,,,,,
USA,94345,96820,99457,100437,99013,103124,99207,99038,99326,98061,98962,
AUS,4178,4333,4621,4772,5035,,4894,5380,5887,5883,5710,6077
AUT,1503,1586,2319,3473,4392,4534,4472,4063,4398,4312,3998,3822
CHE,1804,1856,1883,2131,1828,1711,1653,1730,1852,1750,1566,
ISL,21,34,23,28,30,31,33,32,35,37,,
JPN,17110,16976,17645,18034,18079,19726,19605,20321,21102,20571,21684,22133
NLD,4317,5193,4925,4564,4565,4492,4249,4051,4079,3827,3845,3559
NZL,1007,977,1025,1075,1064,1089,1177,1120,1177,1183,,
SWE,2111,2253,2250,2261,2300,2364,2413,2364,2496,2373,2424,
