Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,10.3,8.8,9.7,9.9,11,10.7,12,12.4,12.1,9.7,9,
HUN,26.4,19.1,23.5,26.1,22.9,36,30.3,30.5,28,25.1,24.4,26.7
TUR,,,,,,,,,,,,
USA,36.6,36.5,36.4,35.6,34.2,34.7,32.4,31.6,30.3,28.9,28.5,
AUT,16.5,17.5,24,35.5,44.4,45.2,44.3,39.3,41.8,39.4,34.6,32.9
CZE,15.2,13.4,13.6,15.4,14.6,14.7,14.7,25.1,20,19.1,19.1,24.3
DNK,28.5,28.9,33,30.2,27.3,30,28.3,26.5,24.1,25.6,23.2,21.1
SWE,17.1,18.1,17.1,17.7,16.8,17.8,17.1,17,18.1,16.4,16.5,
CAN,29.3,30.8,32.2,31.7,30.2,30.3,26.7,26.1,26.5,24.2,,
IRL,18,17.6,19,16,19,18.9,20.5,19.2,17.3,16,16,
CHL,41.6,43,41.8,43.7,45.4,43.3,40.8,41.3,35.5,36.5,,
JPN,10.1,9.6,9.5,9.5,9.1,9.5,9,9.1,9.1,8.5,8.7,8.5
POL,18.8,18.2,17.9,17.7,17.2,17.1,18.3,18.2,19,18.7,17.5,17.9
FRA,27.2,27.4,28.2,32.8,25.7,25.4,23.6,22.6,22.7,22.2,,
KOR,44.4,45,46.3,43.3,39.8,37.6,36.2,34.6,30.5,27.6,28,27.8
CHE,22.3,22.4,21.6,24.4,20.6,18.8,17.5,17.6,18.7,16.5,15,
DEU,25.7,25.9,28,28.8,27.9,28.2,25.5,24.5,24.8,25.2,25.2,25
ESP,25.9,25.7,26.2,26.2,25.1,25.4,22.9,22.9,22.5,22.2,21.6,21
EST,10,13.1,12.3,15.3,20.6,17.2,18.5,17.2,17.3,13.1,9.9,12.1
FIN,12.3,10.7,9.9,10.5,9.9,8.8,8.7,9,9.6,7.6,7.5,7.1
GBR,,12.6,12.8,13.2,12.4,12.3,11.7,11.5,11.3,11,10.9,
MEX,158.6,161.7,167.5,175.2,173.5,181.4,174.3,170.8,177.8,171.3,177.2,
NOR,15.7,17.5,16.7,16.8,14.6,19.6,19.6,19.4,17.1,17.5,16,16.7
BEL,,,,25.5,24.3,23.7,21.4,20.9,21.3,21.6,,
ITA,30.8,30.7,28.7,33.1,,,29,29,28.7,28.8,27.5,
NLD,30.6,34.8,33,30.3,29.1,27.8,25.6,23.9,23.3,21.3,20.5,19
AUS,22,22,22.7,22.6,24.3,,23.5,24.3,25.6,25.2,23.7,24.4
ISL,7.3,14.6,9.5,12.6,10.4,10.9,12.8,12.5,10.4,12.2,,
ISR,70.6,68.3,66.5,76,68.5,62.3,60.6,61,62.2,55.8,50.9,
LUX,17.3,15.3,17.6,16.5,18.8,14.2,18.4,18.6,18.3,12.8,16.3,16.3
NZL,27.6,26.3,26.4,27.9,27,26.1,28.3,26,27.1,24.6,,
PRT,38,43.8,45.6,46.7,,,,41.1,40.8,42.5,41.5,38.2
SVK,19,17.9,17,17.7,17.9,16.8,17,14.6,14.3,14.8,14.9,
SVN,32.2,33.9,36.5,36.4,31.9,26.6,19.2,13.8,13.8,10.8,11.4,
