Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,10.80,12.00,12.50,13.60,14.60,12.20,12.10,11.40,12.10,11.30,12.70,12.80
GRC,15.80,15.30,13.20,13.00,12.90,13.10,15.40,18.70,18.50,14.60,14.10,
SVN,11.80,13.20,11.90,10.80,11.60,15.40,17.30,16.70,11.20,13.00,12.80,
USA,22.90,23.30,23.30,23.50,23.20,23.50,23.30,23.50,22.00,21.60,22.00,
FIN,9.50,10.10,9.60,9.60,8.40,8.60,8.60,8.00,6.80,6.80,6.70,6.30
HUN,11.10,10.90,10.40,11.60,10.10,9.70,8.80,9.20,8.30,8.90,8.30,8.40
CZE,16.70,16.00,16.00,16.30,16.80,18.20,18.80,13.30,13.10,12.50,14.20,11.70
DNK,12.30,12.40,15.60,17.30,17.00,16.00,17.70,15.50,13.10,13.50,13.20,12.50
EST,14.20,11.90,11.40,12.20,11.10,11.00,9.00,11.80,9.80,9.60,8.20,6.90
FRA,11.50,11.90,12.50,13.10,12.00,12.40,11.70,11.50,11.90,11.60,,
IRL,23.00,22.40,20.90,21.30,22.10,23.40,24.10,22.30,18.40,20.50,19.60,
ISR,42.40,44.70,49.20,42.80,51.20,51.50,52.60,43.90,39.60,38.70,35.90,
NOR,12.90,13.90,13.90,14.30,14.50,16.60,17.70,19.10,16.70,16.90,17.60,15.00
ISL,12.00,7.80,14.10,12.20,10.20,12.80,18.40,9.90,13.80,13.00,,
LUX,9.60,7.10,6.20,7.30,9.10,10.30,8.80,13.10,9.10,8.30,15.50,13.00
NZL,11.90,13.10,12.40,12.20,11.60,10.80,12.10,14.50,14.50,13.80,,
DEU,12.30,12.70,13.80,14.80,14.70,15.40,15.70,16.70,18.20,17.90,18.30,17.70
PRT,16.30,18.40,20.50,23.50,,,,23.30,25.00,26.00,26.10,20.60
SVK,16.90,17.20,18.20,18.40,17.70,16.70,15.30,16.30,16.30,16.40,17.20,
KOR,14.20,14.10,13.50,11.40,11.30,11.60,11.70,13.80,14.60,15.00,15.40,15.10
AUS,17.70,18.10,18.30,17.70,17.50,,18.00,17.50,16.90,16.70,16.10,15.90
BEL,,,,14.80,14.00,15.10,17.60,16.50,17.20,17.60,,
CAN,16.70,17.10,17.40,17.50,17.70,18.30,17.70,18.30,16.60,15.70,,
CHL,26.50,28.50,27.00,28.60,29.70,30.80,27.80,28.30,25.80,28.10,,
ESP,19.20,19.70,19.30,20.30,18.50,20.10,19.10,19.90,20.10,19.90,18.60,18.80
GBR,,14.30,15.50,16.60,16.80,17.60,18.10,18.60,19.20,19.00,19.20,
ITA,11.90,11.90,11.80,13.20,,,12.00,12.50,11.80,12.10,12.00,
POL,14.80,14.20,13.80,13.80,14.10,15.00,14.90,14.20,14.30,14.80,14.70,14.50
SWE,12.00,12.80,12.80,12.30,9.70,9.80,9.90,9.90,9.90,9.70,9.10,
CHE,8.40,8.10,7.80,7.30,6.60,6.00,7.20,8.80,9.20,9.30,9.80,
JPN,16.60,16.40,16.10,15.90,15.80,16.40,16.20,16.10,16.20,15.80,16.20,16.40
MEX,32.10,33.00,30.90,30.90,30.60,32.80,31.60,30.10,32.10,31.30,32.20,
NLD,20.80,20.60,20.00,21.20,19.70,19.50,20.90,19.90,20.80,19.00,20.60,20.20
