Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,88,86,72,66,59,53,56,46,53,49,42,40
HUN,806,697,648,640,655,593,599,571,566,559,547,575
KOR,1963,2059,2672,3384,3613,3985,3426,4427,4598,5476,5237,5040
AUT,432,408,362,388,345,349,296,315,303,305,293,313
BEL,,,,554,536,551,540,537,547,554,,
DNK,194,220,184,153,191,174,177,178,185,145,158,152
ISL,8,8,9,6,9,9,10,7,11,7,,
SWE,328,363,318,333,321,384,379,325,315,353,302,
ITA,1046,980,924,997,,,859,864,907,880,861,
POL,972,850,992,888,909,907,858,812,812,944,836,760
AUS,505,521,506,471,442,,373,529,508,552,553,546
CAN,807,820,799,862,879,885,816,882,927,899,,
JPN,8595,8290,8272,8713,8292,8317,8502,8820,8683,8518,8526,8992
CHE,399,393,466,421,427,400,445,440,452,278,281,
FRA,2864,2785,2912,2826,2945,2881,2825,2704,2732,2733,,
IRL,82,79,81,96,74,88,80,96,120,105,100,
LUX,15,23,22,8,17,10,18,25,8,12,11,18
NZL,83,119,113,141,111,132,137,118,139,118,,
PRT,107,175,265,267,,,,269,244,222,265,224
SVK,135,112,100,105,112,95,,,83,58,92,
DEU,2934,2968,3057,2971,2794,2737,2540,2393,2412,2372,2556,2498
FIN,290,270,271,260,252,269,259,244,232,272,235,200
ISR,87,75,89,72,91,121,88,63,59,93,84,
CHL,207,233,246,252,263,279,297,352,414,424,,
ESP,819,759,817,828,856,829,734,800,781,763,690,745
GBR,,929,953,929,1021,993,936,872,959,932,963,
GRC,84,48,66,69,68,79,68,60,65,58,41,
MEX,538,674,657,698,678,735,713,762,861,972,903,
NLD,501,463,505,484,492,499,478,410,447,461,476,511
NOR,131,136,132,128,170,173,140,149,157,157,164,164
USA,5722,5938,6232,6269,6859,6711,6967,7309,7567,7805,8074,
CZE,351,329,318,354,297,292,258,228,256,234,257,252
SVN,155,122,107,122,142,112,114,99,84,97,78,
TUR,,,,,,,,,,,,
