Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,2574.00,2430.00,2554.00,2650.00,2651.00,2570.00,2512.00,2463.00,2676.00,2666.00,2468.00,2435.00
IRL,381.00,409.00,368.00,358.00,390.00,363.00,372.00,362.00,386.00,422.00,386.00,
JPN,21656.00,21085.00,21677.00,23396.00,21955.00,22236.00,21419.00,22007.00,21546.00,22189.00,21028.00,19904.00
NOR,409.00,411.00,362.00,374.00,359.00,360.00,389.00,336.00,347.00,416.00,383.00,434.00
PRT,417.00,586.00,947.00,888.00,,,,751.00,794.00,803.00,836.00,794.00
CHL,1266.00,1392.00,1357.00,1402.00,1472.00,1401.00,1498.00,1496.00,1674.00,1724.00,,
DEU,8131.00,8188.00,8106.00,8179.00,7939.00,7523.00,7225.00,7009.00,7039.00,7199.00,7465.00,7646.00
GBR,,3198.00,3163.00,3050.00,3162.00,3054.00,3186.00,3025.00,3300.00,3313.00,3223.00,
GRC,298.00,286.00,257.00,306.00,285.00,321.00,326.00,268.00,308.00,333.00,336.00,
HUN,2463.00,2282.00,2195.00,2161.00,2087.00,2028.00,1861.00,1879.00,1910.00,1902.00,1945.00,1847.00
NZL,375.00,388.00,354.00,376.00,382.00,382.00,387.00,375.00,381.00,394.00,,
SVN,433.00,459.00,433.00,440.00,370.00,391.00,415.00,335.00,324.00,350.00,336.00,
AUT,1156.00,1081.00,1189.00,1068.00,1073.00,1043.00,997.00,965.00,962.00,968.00,968.00,973.00
DNK,533.00,507.00,503.00,479.00,469.00,455.00,470.00,400.00,418.00,477.00,405.00,437.00
FRA,7973.00,7655.00,7720.00,8030.00,7853.00,7826.00,7590.00,7418.00,7615.00,7759.00,,
KOR,4481.00,4852.00,5940.00,7514.00,7879.00,8026.00,7227.00,7747.00,8260.00,9936.00,10329.00,10866.00
NLD,999.00,1010.00,1062.00,1016.00,1022.00,1073.00,1046.00,943.00,988.00,1064.00,1124.00,1136.00
POL,4869.00,5005.00,4932.00,4946.00,5162.00,5136.00,4947.00,4470.00,4869.00,5530.00,5506.00,5352.00
EST,289.00,315.00,299.00,276.00,264.00,220.00,191.00,207.00,189.00,220.00,181.00,178.00
MEX,2937.00,3110.00,3189.00,3390.00,3414.00,3571.00,3553.00,3546.00,3807.00,4087.00,3996.00,
SWE,802.00,833.00,862.00,775.00,833.00,835.00,817.00,801.00,855.00,887.00,836.00,
CAN,2798.00,2870.00,2849.00,2902.00,2734.00,2856.00,2695.00,2726.00,2773.00,2986.00,,
CHE,979.00,943.00,980.00,848.00,856.00,899.00,863.00,920.00,861.00,827.00,723.00,
ISL,42.00,28.00,19.00,20.00,26.00,24.00,22.00,30.00,27.00,29.00,,
AUS,1883.00,1935.00,1813.00,1684.00,1671.00,,1300.00,1698.00,1832.00,1783.00,1865.00,1726.00
BEL,,,,1537.00,1450.00,1477.00,1394.00,1319.00,1453.00,1459.00,,
ISR,307.00,323.00,291.00,345.00,320.00,304.00,279.00,263.00,294.00,309.00,393.00,
SVK,594.00,580.00,617.00,648.00,564.00,584.00,,,508.00,543.00,539.00,
LUX,47.00,50.00,63.00,40.00,45.00,39.00,47.00,53.00,35.00,36.00,43.00,37.00
CZE,1298.00,1294.00,1216.00,1365.00,1286.00,1272.00,1142.00,1147.00,1123.00,1230.00,1245.00,1337.00
FIN,873.00,933.00,822.00,813.00,811.00,722.00,802.00,749.00,800.00,760.00,716.00,708.00
ITA,3062.00,3050.00,3145.00,3078.00,,,2842.00,2893.00,2997.00,3091.00,3126.00,
USA,23597.00,24611.00,25363.00,25153.00,25504.00,25848.00,26233.00,27224.00,28402.00,29035.00,30238.00,
