Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,,,,,7,8,13,13,12,10,10,12
KOR,1,4,5,6,8,4,5,7,10,6,8,5
NOR,7,3,2,5,6,6,,2,3,6,,2
PRT,174,163,175,200,,,,160,167,157,137,124
SVK,,1,,,1,,,,1,,,
SWE,4,7,7,7,2,10,5,8,5,10,3,
BEL,,,,21,25,18,18,15,15,16,,
CHL,56,73,60,66,43,59,65,50,60,70,,
CZE,,,,,,1,1,2,3,3,1,2
ISL,,1,,,,,,,,,,
AUT,13,15,10,13,13,10,12,9,9,10,8,14
FIN,2,,2,1,2,,3,1,,1,2,1
FRA,212,214,223,222,222,199,189,178,163,121,,
JPN,3,3,1,3,6,7,5,7,5,2,5,5
NLD,26,21,19,18,13,14,11,14,14,12,9,9
AUS,10,11,10,11,7,,9,9,8,5,7,9
DEU,103,130,118,114,103,93,84,86,101,94,75,85
HUN,4,2,2,1,3,,1,1,,,,2
POL,25,30,22,23,26,25,25,20,30,23,23,35
SVN,,1,,,,2,,1,1,,,
ESP,320,336,294,343,280,282,278,248,264,226,207,197
GBR,,49,52,80,80,63,77,83,85,92,79,
ISR,4,8,7,8,8,11,6,6,8,11,5,
NZL,3,2,3,2,4,1,4,4,1,1,,
TUR,,,,,,,,,,,,
DNK,5,7,4,5,9,9,6,7,4,6,8,2
IRL,0,0,0,0,0,0,0,5,6,4,6,
ITA,200,219,205,269,,,215,206,210,197,197,
MEX,645,701,714,766,816,796,855,924,945,974,862,
CAN,82,66,62,67,75,98,82,83,94,70,,
CHE,49,34,30,21,19,23,23,17,16,19,10,
GRC,6,3,6,2,3,2,3,3,1,2,2,
LUX,,,,2,1,1,1,1,,1,1,
USA,3610,3585,3627,3539,3557,3354,3357,3198,2879,2603,2270,
