Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,0.30,0.30,0.20,0.30,0.30,0.20,0.30,0.20,0.20,0.20,0.20,0.30
BEL,,,,0.40,0.40,0.30,0.30,0.30,0.30,0.30,,
DNK,0.20,0.30,0.20,0.20,0.30,0.30,0.20,0.20,0.10,0.20,0.30,0.10
EST,,,,,1.00,1.10,1.90,1.80,1.70,1.40,1.50,1.70
FIN,0.10,,0.10,0.00,0.10,,0.10,0.00,,0.00,0.10,0.00
GRC,0.10,0.10,0.10,0.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,
POL,0.10,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.10,0.20
FRA,0.70,0.70,0.70,0.70,0.70,0.60,0.60,0.60,0.50,0.40,,
ISR,0.10,0.20,0.20,0.30,0.30,0.40,0.20,0.20,0.30,0.30,0.20,
NOR,0.30,0.10,0.10,0.20,0.30,0.30,,0.10,0.10,0.30,,0.10
CAN,0.50,0.40,0.40,0.40,0.40,0.60,0.50,0.50,0.50,0.40,,
CZE,,,,,,0.00,0.00,0.00,0.10,0.10,0.00,0.00
DEU,0.20,0.30,0.30,0.30,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20
GBR,,0.20,0.20,0.30,0.30,0.20,0.30,0.30,0.30,0.30,0.30,
NLD,0.30,0.20,0.20,0.20,0.20,0.20,0.10,0.20,0.20,0.10,0.10,0.10
SVN,,0.10,,,,0.20,,0.10,0.10,,,
CHL,0.70,1.00,0.70,0.90,0.50,0.70,0.80,0.60,0.70,0.80,,
ITA,0.70,0.70,0.70,0.90,,,0.70,0.60,0.60,0.60,0.60,
AUS,0.10,0.10,0.10,0.10,0.10,,0.10,0.10,0.10,0.00,0.10,0.10
CHE,1.30,0.90,0.80,0.50,0.40,0.60,0.60,0.40,0.40,0.40,0.20,
ESP,1.50,1.50,1.30,1.50,1.20,1.20,1.20,1.00,1.10,0.90,0.80,0.80
JPN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SVK,,0.00,,,0.00,,,,0.00,,,
USA,2.50,2.40,2.40,2.40,2.40,2.20,2.20,2.10,1.90,1.70,1.50,
ISL,,0.70,,,,,,,,,,
LUX,,,,0.80,0.40,0.40,0.40,0.40,,0.40,0.40,
NZL,0.20,0.10,0.20,0.10,0.20,0.10,0.20,0.20,0.00,0.00,,
SWE,0.10,0.20,0.20,0.20,0.00,0.20,0.10,0.20,0.10,0.20,0.10,
HUN,0.10,0.00,0.00,0.00,0.10,,0.00,0.00,,,,0.00
IRL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20,
PRT,3.20,3.00,3.20,3.60,,,,2.80,2.90,2.70,2.30,2.10
KOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MEX,1.40,1.50,1.50,1.60,1.60,1.60,1.70,1.80,1.80,1.80,1.60,
