Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,1.30,1.10,1.00,1.00,1.00,,0.90,0.70,0.60,0.70,0.60,0.80
CZE,0.00,0.10,,,,0.10,,0.00,0.10,0.10,0.10,0.10
DEU,1.10,0.90,0.90,0.90,0.90,0.90,0.90,0.80,0.80,0.70,0.80,0.80
ESP,6.60,6.00,6.00,5.70,5.60,5.00,4.40,4.40,3.90,3.40,3.30,3.00
JPN,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
POL,0.50,0.40,0.50,0.50,0.50,0.50,0.40,0.50,0.60,0.40,0.60,0.50
SWE,0.50,0.60,0.40,0.50,0.40,0.40,0.40,0.40,0.30,0.40,0.20,
AUT,0.90,0.80,1.00,0.80,1.00,1.50,0.70,1.20,0.80,0.60,0.80,0.60
CHE,2.20,2.30,1.80,1.80,1.60,1.30,1.30,1.10,0.80,0.80,0.80,
FIN,0.30,0.10,0.20,0.30,0.20,0.30,0.20,0.40,0.30,0.10,0.20,0.10
LUX,0.80,0.40,1.50,0.50,0.90,,1.60,1.30,1.70,,,1.10
SVN,0.40,0.60,0.30,0.10,0.20,0.10,,0.20,0.40,0.10,,
EST,0.50,0.50,0.40,1.00,2.00,3.70,5.40,4.20,4.40,6.20,4.80,7.20
GRC,0.40,0.30,0.40,0.30,0.20,0.40,0.30,0.30,0.20,0.20,0.30,
NZL,1.00,0.60,0.40,0.40,0.50,0.60,0.60,0.40,0.20,0.40,,
PRT,14.90,16.50,15.70,14.50,,,,11.60,10.10,9.20,9.40,8.10
DNK,0.90,1.00,1.10,1.40,1.10,1.10,0.70,0.90,0.60,0.80,0.70,0.50
IRL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.30,0.50,0.40,
ISL,0.70,0.80,,,0.70,,1.90,,,0.60,,
USA,7.80,7.50,7.30,7.00,6.50,6.30,5.90,5.50,4.90,4.50,4.00,
FRA,2.80,2.80,2.60,2.50,2.40,2.10,2.10,1.80,1.60,1.30,,
ITA,2.60,2.50,2.40,3.30,,,2.40,2.60,2.30,2.20,2.00,
CAN,2.60,2.20,2.00,2.20,2.00,2.20,2.00,1.90,1.80,1.60,,
GBR,,0.50,0.60,0.60,0.40,0.60,0.60,0.60,0.60,0.60,0.60,
KOR,0.10,0.10,0.20,0.20,0.30,0.30,0.30,0.40,0.40,0.40,0.50,0.40
NOR,0.30,0.40,0.40,0.50,0.70,0.80,0.60,0.30,0.40,0.50,0.40,0.40
SVK,0.10,0.10,0.00,,0.10,,0.10,0.00,,0.10,0.10,
BEL,,,,0.70,0.80,0.80,0.60,0.60,0.70,0.50,,
CHL,5.50,6.50,5.10,4.70,4.70,4.40,4.60,4.30,4.10,4.50,,
HUN,0.20,0.10,0.10,0.10,0.20,0.10,0.10,0.20,0.10,0.20,0.20,0.20
ISR,0.70,0.80,0.60,0.70,0.50,0.60,0.60,1.20,0.70,0.70,0.60,
MEX,8.70,8.60,8.80,8.90,8.80,8.40,8.90,8.70,8.70,8.50,8.20,
NLD,1.20,1.20,0.80,0.80,0.80,0.80,0.40,0.60,0.40,0.70,0.50,0.50
