Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DNK,32,18,10,27,13,17,12,18,14,14,19,12
JPN,342,298,285,293,306,283,266,245,259,230,205,204
CAN,126,127,146,121,148,147,123,132,121,143,,
CHE,32,35,43,27,33,32,27,23,20,27,20,
EST,34,45,36,40,19,31,27,19,20,25,14,14
IRL,8,6,9,8,4,6,11,7,8,9,5,
ITA,149,133,159,178,,,154,141,127,151,130,
USA,3912,4713,3963,3812,3747,3714,3801,3785,3655,3652,3468,
CZE,50,52,54,50,40,41,44,50,28,37,43,33
DEU,281,239,278,246,246,206,229,209,221,223,240,199
GBR,,74,70,74,62,64,58,78,63,62,54,
NZL,22,22,31,18,13,32,23,23,19,31,,
SVK,28,36,40,33,33,30,,,22,24,29,
BEL,,,,59,84,68,58,65,45,54,,
CHL,99,88,87,77,84,108,102,103,92,97,,
MEX,1284,1263,1266,1312,1193,1286,1290,1045,1421,1834,2314,
NOR,24,13,13,23,14,12,25,16,8,13,16,52
PRT,30,32,57,38,,,,31,43,30,44,34
SWE,35,29,36,26,37,31,31,31,23,35,26,
AUT,49,46,40,21,33,30,32,28,24,32,28,20
ESP,113,96,103,130,211,97,126,121,118,91,122,104
FRA,192,199,201,184,194,158,142,152,153,189,,
HUN,110,83,103,79,89,87,84,74,85,63,56,75
ISR,47,100,165,91,62,67,53,28,32,28,35,
KOR,382,328,370,379,427,442,387,334,325,321,272,242
SVN,8,4,9,15,13,9,4,9,5,6,5,
GRC,40,31,21,33,27,40,19,29,37,46,33,
NLD,60,68,61,73,53,57,49,47,47,50,54,50
TUR,,,,,,,,,,,,
AUS,114,103,95,82,57,,49,78,93,80,87,69
FIN,42,47,44,28,30,30,30,42,40,27,22,35
LUX,2,4,4,3,1,2,2,1,1,1,5,
POL,214,187,194,184,140,145,162,115,132,120,108,126
ISL,2,,1,,3,,,,1,,,
