Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,337,336,315,323,366,422,358,380,444,419,,
ESP,298,322,330,316,374,292,250,227,260,246,207,230
FIN,94,107,89,69,100,71,75,72,78,77,79,64
FRA,311,290,281,267,271,277,270,222,289,287,,
POL,586,477,486,409,436,413,407,407,354,294,245,281
SVK,90,75,78,70,62,59,,,47,38,36,
AUT,26,31,29,24,28,37,34,24,24,26,17,26
CHE,25,47,32,23,34,32,16,22,23,26,19,
DEU,321,325,326,307,280,247,255,242,222,218,238,232
HUN,148,165,137,119,130,107,107,98,118,85,96,85
ISL,4,2,4,,1,3,1,2,,1,,
AUS,189,201,191,175,103,,86,138,158,192,157,119
GRC,85,84,63,89,74,79,76,101,113,121,132,
TUR,,,,,,,,,,,,
DNK,35,31,39,34,22,36,24,26,30,29,23,31
ITA,450,418,401,470,,,378,418,384,359,334,
NZL,33,31,38,38,34,39,41,31,34,53,,
PRT,67,102,125,132,,,,79,105,73,87,65
SWE,55,57,64,55,60,51,48,75,47,50,62,
BEL,,,,85,94,95,88,92,83,80,,
JPN,426,434,445,412,349,317,314,271,287,249,232,211
KOR,434,423,425,451,449,417,394,369,359,355,352,310
MEX,9442,8885,8697,8660,8044,8552,9068,7404,12633,17051,22463,
CHL,694,751,752,752,769,838,818,651,629,806,,
CZE,104,83,80,89,84,55,62,59,51,54,44,55
GBR,,161,194,199,223,183,201,160,147,127,126,
IRL,30,34,34,28,20,32,31,42,33,40,33,
NOR,29,20,26,25,25,17,20,16,19,18,17,62
SVN,14,12,19,12,25,14,9,12,8,5,5,
LUX,3,5,4,1,1,5,5,5,4,4,6,2
USA,12678,15391,13480,13698,13418,14173,14513,14348,13925,13015,12661,
EST,156,162,123,108,90,92,72,76,71,56,48,51
ISR,142,263,335,235,170,148,163,116,112,121,123,
NLD,120,134,134,129,138,117,79,96,103,104,90,93
