Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.2,0.4,0.4,0.3,0.2
KOR,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GRC,1.8,1.4,1.3,1.6,1.5,1.2,1.2,1.6,1.4,1.4,1.3,
IRL,0.7,0.6,0.4,0.2,0.2,0.4,0.5,0.5,0.5,0.5,0.5,
ISR,0.7,0.6,0.5,0.7,0.2,0.5,0.6,0.5,0.2,0.4,0.4,
NOR,0.3,0.2,0.3,0.1,0.3,0.2,0.2,0.3,0.2,0.1,0.2,0.3
PRT,0.5,0.4,0.5,0.3,,,,0.4,0.4,0.4,0.4,0.4
CAN,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.2,0.3,,
DNK,0.4,0.4,0.3,0.5,0.2,0.3,0.4,0.4,0.7,0.1,0.4,0.5
ESP,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4
ITA,0.5,0.5,0.5,0.5,,,0.5,0.5,0.4,0.4,0.4,
CHL,0.3,0.4,0.3,0.3,0.5,0.4,0.4,0.3,0.3,0.2,,
HUN,0.8,0.6,0.6,0.5,0.6,0.2,0.3,0.2,0.4,0.3,0.2,0.2
JPN,0.1,0,0,0,0.1,0,0,0.1,0.1,0.1,0,0.1
LUX,0.4,,,0.4,,0.5,0.7,0.5,0.5,,,
USA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,
AUS,0.3,0.3,0.3,0.3,0.3,,0.2,0.2,0.3,0.3,0.4,0.3
CZE,0.9,0.8,0.6,0.7,0.9,0.5,0.5,0.5,0.3,0.4,0.3,0.3
DEU,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2
EST,0.4,0.7,0.3,0.1,0.6,0.3,0.8,0.3,0.3,0.3,0.2,1.1
FIN,0.4,0.4,0.4,0.3,0.5,0.2,0.2,0.3,0.2,0.2,0.3,0.2
ISL,,,,,0.7,0.7,,1.4,,0.7,,
SVN,0.8,0.5,0.3,0.4,0.2,0.5,0.2,0.2,0.1,0.4,0.4,
SWE,0.2,0.3,0.5,0.3,0.3,0.2,0.3,0.2,0.3,0.2,0.3,
FRA,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,,
MEX,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,
NLD,0.4,0.4,0.3,0.2,0.3,0.5,0.5,0.3,0.4,0.3,0.3,0.4
POL,0.8,0.8,0.8,0.7,0.6,0.7,0.7,0.6,0.5,0.4,0.4,0.3
SVK,1.1,1,0.3,0.5,0.8,0.3,0.6,0.4,0.6,0.3,0.7,
CHE,,,,,,,,,,,,
TUR,,,,,,,,,,,,
BEL,,,,0.4,0.4,0.3,0.4,0.4,0.3,0.3,,
GBR,,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.4,
NZL,0.2,0.2,0.4,0.4,0.3,0.3,0.4,0.3,0.5,0.3,,
