Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,338,374,323,338,297,281,309,320,345,331,363,
CZE,150,150,150,166,181,194,232,318,451,526,457,644
GRC,275,324,380,392,355,363,387,455,528,591,515,
IRL,117,94,91,68,74,94,79,127,106,125,129,
AUS,871,898,942,921,966,,991,972,1015,974,1125,1240
DNK,176,183,356,405,372,335,371,406,325,387,405,374
EST,106,102,91,109,112,76,107,98,87,96,85,94
HUN,416,401,380,318,317,307,277,292,260,247,297,298
ISR,583,474,462,512,491,579,621,623,724,684,770,
NLD,788,773,829,873,873,849,892,870,927,968,1010,950
NZL,99,102,62,64,84,76,97,101,105,138,,
DEU,5071,5074,5041,5146,5217,5754,5661,6293,6597,7062,7197,7561
FIN,169,179,180,167,153,173,154,217,187,196,200,191
POL,1564,1476,1515,1576,1449,1489,1459,1419,1651,1654,1677,1774
PRT,1581,1503,1463,1553,,,,1470,1529,1477,1514,1269
SWE,493,500,547,572,550,667,639,775,809,892,935,
BEL,,,,1194,1180,1158,1011,998,1016,1062,,
FRA,5439,5118,5279,5422,4876,4999,5058,5089,5273,5297,,
LUX,15,15,28,34,37,50,40,51,46,47,41,44
MEX,11312,11179,11174,11328,10697,10926,10958,10775,10990,10382,10263,
SVK,96,99,117,151,138,117,143,146,154,171,186,
USA,31799,32553,34352,34292,34303,35084,35154,34811,35226,35751,34685,
ISL,10,8,8,12,8,2,10,6,9,7,,
NOR,241,238,259,279,263,380,338,350,415,436,400,439
SVN,55,67,64,52,56,81,61,73,67,38,42,
TUR,,,,,,,,,,,,
CHL,1241,1296,1125,1125,1143,1068,1062,1039,994,1102,,
KOR,3946,3700,3729,3577,3352,3409,3336,3297,3319,3430,3761,3740
AUT,168,158,267,292,264,343,262,273,310,326,300,322
CAN,1729,1623,1713,1928,2032,2117,2158,2423,2369,2480,,
ESP,3710,3782,3869,4030,4080,4257,3950,4185,4038,3625,3470,3286
GBR,,2324,2399,2533,2562,3027,3689,3918,3365,3017,2681,
ITA,2575,2591,2874,3910,,,3887,4215,4346,4607,4766,
JPN,10907,10920,10689,11271,11463,12211,12223,12356,12498,12523,12795,12943
