Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,147,145,123,153,152,108,149,140,122,148,119,130
FIN,393,365,381,377,343,367,335,458,437,430,436,406
FRA,10615,10125,10324,11048,9557,9903,9802,9874,10638,10853,,
IRL,223,184,181,145,156,173,152,252,219,255,258,
MEX,18599,18429,18501,18682,17703,18214,17980,17814,18248,16970,16866,
NLD,1630,1648,1739,1892,1869,1830,1925,1848,2013,2022,2104,2104
NOR,538,521,585,609,590,793,741,835,914,949,941,954
BEL,,,,2721,2649,2557,2299,2222,2293,2464,,
DNK,374,388,732,846,812,719,799,871,725,823,915,780
HUN,659,611,576,499,490,500,435,480,420,493,521,616
POL,2430,2313,2387,2392,2231,2316,2345,2274,2708,2783,2806,3091
SWE,1007,1106,1260,1250,1155,1385,1385,1623,1696,1924,1964,
AUT,308,297,490,579,538,635,545,564,649,667,648,678
ESP,6278,6554,6733,7299,7215,7493,7199,7776,7708,6843,6489,6398
CAN,3112,3044,3272,3577,3993,4154,4229,4657,4704,5009,,
ISL,22,17,13,22,15,12,19,26,21,13,,
PRT,2325,2065,2041,2365,,,,2462,2652,2621,2667,2276
CHE,713,655,627,675,595,574,623,639,677,676,717,
CHL,2030,1999,1834,1807,1824,1767,1753,1703,1644,1829,,
GBR,,4932,5101,5549,5829,6988,8603,9287,7607,6757,5963,
GRC,516,638,777,759,667,778,796,969,1091,1200,1076,
SVK,168,186,201,262,234,231,283,297,314,356,373,
CZE,268,303,320,306,328,411,457,689,931,1122,1029,1358
DEU,10129,10373,10466,10891,11062,12061,12354,13890,14637,15496,15396,16706
LUX,35,35,55,78,69,109,95,112,103,111,88,88
NZL,173,174,149,147,161,147,167,214,222,281,,
SVN,101,124,106,106,98,202,151,165,142,93,84,
AUS,1658,1699,1776,1742,1801,,1868,1857,1969,1826,2150,2400
ITA,4584,4653,5226,7373,,,7361,7936,8393,9007,9621,
KOR,6185,5756,5723,5406,5163,5525,5420,5349,5603,6022,6685,6766
USA,59007,60336,63981,64660,64618,66507,66993,66856,68432,69571,67592,
ISR,1187,1008,1049,1063,1062,1244,1336,1383,1531,1471,1642,
JPN,19858,20089,19859,20982,21623,23538,24011,24408,24904,25051,25863,26357
TUR,,,,,,,,,,,,
