Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ESP,250,25,97,65,28,182,14,25,26,31,8,32
ISR,2,,,1,,1,,2,,1,2,
SWE,201,24,80,34,50,71,15,26,13,29,6,
AUS,27,15,24,29,16,,8,29,15,18,9,17
BEL,,,,41,23,54,11,38,15,43,,
FIN,55,13,10,19,9,13,3,3,5,8,1,14
GRC,8,0,0,0,0,1,0,0,0,25,30,
CHL,11,28,5,7,21,16,5,6,5,11,,
DEU,86,31,32,99,52,103,24,36,28,71,20,41
EST,3,,1,,,,,,,8,,2
HUN,21,7,2,16,4,9,1,5,7,11,3,13
IRL,20,3,1,3,1,1,1,2,2,2,,
KOR,72,62,32,11,3,2,,5,1,6,4,15
SVN,2,,,,1,2,,,,1,1,
CHE,112,10,23,19,20,37,3,12,10,29,5,
NOR,88,4,10,22,9,21,7,14,5,12,3,14
PRT,29,6,33,10,,,,6,6,14,1,7
DNK,16,7,16,14,22,13,10,4,4,6,,5
GBR,,18,15,30,16,24,9,19,19,60,19,
JPN,280,105,191,543,313,863,428,340,146,303,96,287
CAN,209,35,95,84,115,248,48,81,107,107,,
FRA,600,67,199,179,50,360,46,89,76,140,,
ISL,7,,4,2,,11,1,2,3,2,,
ITA,563,134,191,343,,,103,142,162,187,97,
LUX,3,,1,2,2,2,1,1,,1,,1
MEX,76,57,7,,1,11,9,14,19,153,81,
TUR,,,,,,,,,,,,
NZL,2,4,5,5,8,7,7,5,4,6,,
POL,135,13,12,51,11,13,6,5,7,47,20,49
SVK,29,12,5,13,6,8,1,3,5,3,2,
USA,664,101,289,699,421,657,362,187,690,707,133,
AUT,49,22,5,7,1,10,3,1,,7,1,6
CZE,46,11,8,13,5,26,3,18,20,31,27,44
NLD,127,23,53,55,54,115,34,24,18,47,10,18
