Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EST,5.00,1.00,1.00,1.00,,,,2.00,,8.00,1.00,6.00
GRC,19.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,40.00,55.00,
HUN,45.00,15.00,8.00,35.00,11.00,24.00,2.00,10.00,11.00,21.00,8.00,28.00
LUX,5.00,,5.00,3.00,2.00,5.00,1.00,5.00,1.00,1.00,1.00,4.00
MEX,142.00,112.00,17.00,1.00,5.00,20.00,12.00,29.00,40.00,258.00,142.00,
AUS,66.00,32.00,55.00,65.00,36.00,,16.00,73.00,46.00,50.00,24.00,46.00
DEU,267.00,72.00,102.00,300.00,125.00,301.00,66.00,99.00,91.00,159.00,47.00,78.00
FRA,1561.00,155.00,521.00,450.00,152.00,990.00,117.00,233.00,189.00,373.00,,
NLD,369.00,68.00,150.00,166.00,134.00,324.00,84.00,83.00,42.00,127.00,24.00,52.00
CHL,33.00,56.00,16.00,23.00,59.00,29.00,11.00,17.00,11.00,29.00,,
DNK,55.00,32.00,39.00,63.00,49.00,41.00,25.00,22.00,7.00,26.00,4.00,12.00
ESP,723.00,80.00,337.00,182.00,87.00,543.00,48.00,71.00,81.00,97.00,22.00,91.00
ITA,1532.00,335.00,481.00,963.00,,,298.00,411.00,456.00,510.00,247.00,
SVN,5.00,1.00,,3.00,3.00,8.00,4.00,,1.00,3.00,3.00,
CZE,123.00,29.00,27.00,51.00,19.00,55.00,15.00,55.00,53.00,80.00,68.00,79.00
FIN,155.00,26.00,29.00,67.00,43.00,28.00,14.00,17.00,13.00,17.00,5.00,27.00
GBR,,45.00,45.00,84.00,37.00,53.00,20.00,37.00,51.00,143.00,51.00,
PRT,58.00,14.00,63.00,18.00,,,,20.00,15.00,32.00,8.00,13.00
SVK,71.00,29.00,22.00,46.00,17.00,19.00,7.00,10.00,13.00,8.00,7.00,
SWE,500.00,68.00,198.00,79.00,108.00,191.00,37.00,59.00,37.00,74.00,11.00,
BEL,,,,149.00,62.00,160.00,36.00,103.00,39.00,119.00,,
IRL,44.00,8.00,3.00,6.00,5.00,2.00,2.00,3.00,4.00,4.00,1.00,
ISR,7.00,1.00,,3.00,,2.00,1.00,4.00,,1.00,4.00,
JPN,575.00,214.00,358.00,1171.00,694.00,1818.00,865.00,696.00,272.00,625.00,161.00,574.00
NOR,234.00,22.00,35.00,50.00,21.00,50.00,18.00,41.00,15.00,20.00,7.00,29.00
NZL,2.00,9.00,9.00,12.00,28.00,14.00,17.00,10.00,9.00,12.00,,
POL,358.00,26.00,38.00,141.00,27.00,52.00,14.00,18.00,16.00,87.00,28.00,95.00
AUT,145.00,59.00,18.00,18.00,5.00,27.00,7.00,6.00,1.00,22.00,1.00,9.00
CAN,567.00,92.00,226.00,218.00,296.00,678.00,141.00,180.00,272.00,253.00,,
CHE,287.00,32.00,83.00,66.00,68.00,129.00,8.00,37.00,18.00,88.00,11.00,
ISL,21.00,1.00,7.00,2.00,1.00,29.00,2.00,6.00,6.00,5.00,,
KOR,171.00,134.00,82.00,24.00,10.00,5.00,,7.00,5.00,15.00,17.00,29.00
USA,1765.00,257.00,727.00,1792.00,1100.00,1812.00,849.00,411.00,1721.00,1361.00,275.00,
