Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,0.30,0.10,0.10,0.30,0.10,0.30,0.10,0.10,0.10,0.10,0.00,0.10
GBR,,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.10,0.20,0.10,
NOR,4.60,0.60,0.80,0.90,0.30,0.90,0.30,0.80,0.30,0.20,0.10,0.50
PRT,0.50,0.10,0.50,0.10,,,,0.20,0.10,0.20,0.10,0.10
SVK,1.90,0.90,0.90,1.60,0.50,0.50,0.20,0.30,0.30,0.20,0.20,
BEL,,,,1.60,0.60,1.50,0.30,0.80,0.30,1.00,,
KOR,1.00,0.70,0.40,0.10,0.10,0.00,,0.00,0.00,0.10,0.10,0.10
AUS,0.40,0.20,0.30,0.30,0.20,,0.10,0.40,0.30,0.30,0.10,0.20
AUT,1.80,0.70,0.30,0.20,0.10,0.30,0.10,0.10,0.00,0.20,,0.00
ISL,11.70,0.80,2.40,,0.70,13.00,0.70,2.60,1.90,2.10,,
LUX,0.80,,1.60,0.40,,1.10,,1.60,0.40,,0.30,0.90
CHL,0.60,0.70,0.30,0.40,0.80,0.30,0.10,0.20,0.10,0.30,,
DNK,1.10,0.70,0.60,1.30,0.70,0.80,0.40,0.50,0.10,0.50,0.10,0.20
EST,0.30,0.10,,0.10,,,,0.20,,,0.10,0.50
ISR,0.20,0.00,,0.10,,0.00,0.00,0.10,,,0.10,
JPN,0.40,0.10,0.20,0.70,0.40,0.90,0.40,0.30,0.10,0.30,0.10,0.20
POL,1.40,0.10,0.20,0.50,0.10,0.20,0.00,0.10,0.00,0.20,0.00,0.20
FRA,2.20,0.20,0.70,0.60,0.20,1.40,0.20,0.30,0.20,0.50,,
NLD,2.70,0.50,1.00,1.20,0.80,2.20,0.50,0.60,0.20,0.80,0.10,0.30
SVN,0.30,0.10,,0.30,0.20,0.50,0.40,,0.10,0.10,0.10,
CAN,2.30,0.40,0.80,0.80,1.00,2.40,0.50,0.50,0.80,0.70,,
CHE,3.50,0.40,1.10,0.90,0.90,1.60,0.10,0.40,0.10,1.00,0.10,
GRC,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,
HUN,0.50,0.10,0.10,0.30,0.10,0.20,0.00,0.10,0.10,0.10,0.10,0.20
SWE,4.10,0.60,1.60,0.60,0.80,1.50,0.30,0.40,0.30,0.60,0.10,
USA,0.70,0.10,0.30,0.70,0.40,0.70,0.30,0.10,0.60,0.40,0.10,
ESP,1.80,0.20,0.90,0.40,0.20,1.20,0.10,0.10,0.20,0.20,0.00,0.20
FIN,3.10,0.40,0.60,1.40,1.00,0.40,0.30,0.40,0.20,0.20,0.10,0.40
IRL,1.50,0.30,0.10,0.20,0.20,0.10,0.10,0.10,0.10,0.10,0.10,
MEX,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.20,
CZE,1.50,0.40,0.40,0.80,0.30,0.50,0.20,0.60,0.60,0.80,0.70,0.50
ITA,2.30,0.50,0.60,1.40,,,0.40,0.50,0.50,0.60,0.30,
NZL,,0.30,0.20,0.40,1.00,0.30,0.50,0.20,0.20,0.30,,
