Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,142.90,133.70,127.30,125.60,114.10,113.60,108.20,103.80,99.10,93.40,88.50,
NLD,122.50,115.20,109.20,104.70,93.50,86.70,79.60,73.90,69.20,63.20,60.10,55.80
AUT,201.40,191.60,199.30,193.20,181.60,174.80,168.50,164.20,153.00,153.10,149.40,141.70
GRC,121.10,122.50,120.70,126.90,123.40,109.50,106.00,102.20,92.40,92.10,84.40,
ESP,94.00,90.90,90.00,89.90,84.10,82.60,75.80,73.90,69.40,66.90,64.60,61.20
FRA,72.80,70.70,68.50,67.70,62.20,60.30,55.30,52.50,51.00,47.60,,
IRL,244.30,224.60,218.40,195.80,187.90,170.60,165.20,172.70,162.50,156.00,135.90,
ITA,113.50,108.70,109.50,118.00,,,98.90,96.10,93.50,89.00,84.60,
JPN,51.60,50.00,48.60,48.10,45.20,46.40,44.30,42.50,41.90,40.10,39.70,39.00
SVK,435.20,437.60,430.90,445.30,420.40,413.90,376.60,408.20,428.40,414.70,404.40,
USA,216.90,206.10,197.70,188.50,173.60,166.90,156.00,147.20,140.50,131.10,126.50,
ISL,187.00,167.40,182.20,174.20,171.50,143.80,151.20,137.00,147.10,133.00,,
KOR,45.70,46.30,52.40,49.30,52.10,53.60,54.80,53.80,44.20,42.80,42.80,42.30
LUX,113.00,109.80,107.50,126.50,104.10,94.90,106.90,89.40,84.40,64.50,66.80,68.40
MEX,134.20,132.70,136.20,139.40,133.80,137.70,131.90,127.70,133.90,134.10,147.10,
POL,196.90,187.30,176.90,176.90,166.20,163.50,159.00,147.90,146.90,140.30,129.60,127.80
PRT,89.90,88.30,91.60,90.90,,,,70.50,66.40,63.00,59.40,51.70
FIN,264.60,250.10,252.00,238.70,220.50,217.40,209.80,206.30,198.10,188.40,186.50,171.90
ISR,146.20,135.00,127.80,129.00,111.20,111.20,106.20,110.80,96.50,84.80,79.50,
CAN,169.20,161.70,154.00,149.40,140.50,133.20,123.30,118.70,114.90,108.10,,
CHL,107.00,104.00,98.90,98.50,93.60,89.80,85.80,85.00,73.50,69.60,,
CZE,271.80,268.00,265.20,263.30,244.60,270.60,258.50,287.20,273.00,263.90,251.00,260.40
DEU,190.80,185.20,184.20,182.50,168.00,159.10,149.20,140.90,132.00,129.40,123.80,115.20
EST,493.10,484.80,474.20,461.40,415.50,391.90,380.30,353.10,340.40,312.70,303.00,265.10
NZL,202.50,210.40,202.40,195.30,195.60,174.70,172.90,159.00,152.30,147.80,,
SWE,186.60,182.50,179.40,172.60,159.90,155.00,151.70,142.70,138.30,128.90,123.00,
AUS,172.80,164.70,157.00,148.90,142.40,,123.20,119.80,120.40,110.70,102.70,98.20
BEL,,,,111.40,105.50,100.10,87.50,84.70,79.70,75.00,,
DNK,168.00,169.50,150.20,141.40,129.10,119.30,109.30,100.70,93.20,89.60,83.70,72.00
GBR,,193.60,186.20,179.40,165.40,155.00,142.50,135.50,128.10,118.20,112.90,
HUN,342.40,325.50,321.50,341.20,342.80,386.80,356.70,334.50,321.60,318.70,320.30,309.20
NOR,173.20,166.10,162.10,149.10,136.40,120.50,114.30,112.10,106.70,100.50,95.90,90.40
SVN,155.00,147.50,133.20,139.80,121.90,119.20,100.00,98.30,97.20,93.90,93.90,
