Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,421.00,454.00,391.00,477.00,467.00,478.00,525.00,512.00,552.00,511.00,447.00,
ISR,206.00,195.00,191.00,198.00,208.00,213.00,210.00,209.00,226.00,214.00,234.00,
FIN,163.00,160.00,144.00,164.00,155.00,155.00,147.00,152.00,145.00,140.00,138.00,159.00
KOR,574.00,640.00,604.00,657.00,621.00,644.00,568.00,623.00,640.00,688.00,697.00,653.00
CHE,230.00,234.00,216.00,237.00,232.00,242.00,216.00,222.00,244.00,255.00,248.00,
GBR,,1879.00,1970.00,1901.00,1924.00,1912.00,1828.00,1867.00,1897.00,1903.00,1992.00,
NLD,515.00,513.00,498.00,505.00,567.00,506.00,506.00,498.00,497.00,573.00,547.00,568.00
NOR,139.00,138.00,145.00,141.00,144.00,127.00,154.00,133.00,154.00,140.00,131.00,140.00
PRT,282.00,291.00,346.00,342.00,,,,335.00,318.00,360.00,353.00,359.00
DNK,212.00,173.00,237.00,184.00,179.00,204.00,195.00,224.00,194.00,205.00,187.00,215.00
EST,48.00,63.00,56.00,45.00,60.00,57.00,78.00,74.00,75.00,48.00,54.00,73.00
MEX,1562.00,1511.00,1517.00,1616.00,1638.00,1779.00,1709.00,1774.00,1720.00,1815.00,1816.00,
CHL,247.00,277.00,269.00,285.00,283.00,287.00,286.00,297.00,311.00,264.00,,
DEU,3341.00,3208.00,3369.00,3349.00,3327.00,3450.00,3387.00,3263.00,3400.00,3308.00,3305.00,3535.00
ESP,1263.00,1275.00,1279.00,1368.00,1332.00,1291.00,1360.00,1360.00,1310.00,1329.00,1456.00,1495.00
HUN,424.00,503.00,476.00,491.00,501.00,438.00,439.00,442.00,441.00,429.00,428.00,474.00
NZL,95.00,116.00,108.00,111.00,145.00,148.00,127.00,134.00,130.00,121.00,,
POL,1052.00,1112.00,1124.00,1169.00,1172.00,1200.00,1245.00,1231.00,1175.00,1232.00,1212.00,1255.00
BEL,,,,408.00,385.00,402.00,415.00,396.00,475.00,449.00,,
CZE,411.00,437.00,378.00,372.00,408.00,371.00,394.00,379.00,376.00,377.00,375.00,392.00
ITA,2359.00,2449.00,2533.00,2543.00,,,2518.00,2572.00,2567.00,2647.00,2662.00,
SVK,142.00,162.00,175.00,163.00,146.00,169.00,162.00,160.00,156.00,153.00,137.00,
SVN,66.00,62.00,49.00,59.00,62.00,58.00,70.00,65.00,69.00,77.00,88.00,
SWE,327.00,296.00,324.00,322.00,311.00,334.00,334.00,346.00,305.00,298.00,312.00,
ISL,6.00,7.00,4.00,2.00,5.00,5.00,4.00,5.00,7.00,8.00,,
LUX,21.00,16.00,17.00,11.00,23.00,12.00,23.00,23.00,14.00,22.00,18.00,18.00
USA,9562.00,9601.00,9482.00,9462.00,9388.00,9392.00,9559.00,9438.00,9624.00,9631.00,9722.00,
AUS,569.00,585.00,584.00,589.00,612.00,,588.00,578.00,610.00,633.00,684.00,696.00
AUT,288.00,335.00,311.00,314.00,358.00,327.00,343.00,338.00,347.00,344.00,336.00,358.00
CAN,858.00,889.00,876.00,995.00,947.00,947.00,999.00,967.00,1035.00,1073.00,,
FRA,2352.00,2375.00,2395.00,2450.00,2389.00,2433.00,2414.00,2466.00,2421.00,2523.00,,
IRL,101.00,115.00,110.00,98.00,110.00,117.00,105.00,105.00,112.00,86.00,88.00,
JPN,2796.00,2839.00,2857.00,2930.00,2915.00,2972.00,3047.00,3051.00,3121.00,3131.00,3218.00,3381.00
